開放粵語詞典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［廣州拼音］	［國語解釋］
行蠱惑	hang4 gu2 wag6	出來混，走江湖，做黑社會份子
行公司	hang4 gung1 xi1	逛商店
行過籠	hang4 gwo3 lung4	走過了頭
行過嚟	hang4 gwo4 léi4	走過來
行吓	hang4 ha5	走一走
行吓公司	hang4 ha5 gung1 xi1	逛逛商店
行行企企	hang4 hang4 kéi2 kéi2	無所事事，混過日子
行後門	hang4 heo6 mun4	走後門
行開	hang4 hoi1	走開，離開
行開啲啦	hang4 hoi1 di1 la1	走開！
行開咗	hang4 hoi1 zo2	出去了
行近路	hang4 ken5 lou6	走近道，走捷徑
行路	hang4 lou6	走路
行路唔帶眼	hang4 lou6 m4 dai3 ngan5	遇事盲目，瞎搞一氣
行雷	hang4 lêu4	打雷
行唔開	hang4 m4 hoi1	脫不開身
行唔埋	hang4 m4 mai4	合不來
行唔喐	hang4 m4 yug1	走不動
行埋嚟	hang4 mai4 léi4	走過來
行萬里路	hang4 man6 léi5 lou6	
行山	hang4 san1	到山上步行，爬山
行山徑	hang4 san1 ging3	人行山路
行衰運	hang4 sêu1 wen6	走背運
行水	hang4 sêu2	買路錢
行梯	hang4 tei1	梯子
行勻	hang4 wen4	走遍
行勻全國	hang4 wen4 qun4 gwog3	走遍全國
行運	hang4 wen6	走運
行入去	hang4 yeb6 hêu3	走進去
行入嚟	hang4 yeb6 léi4	走進來
行一步睇一步	hang4 yed1 bou6 tei2 yed1 bou6	一步一步做著看
行人道	hang4 yen4 dou6	
行人路	hang4 yen4 lou6	人行道
行遠必自邇	hang4 yun5 bid1 ji6 yi5	
行走	hang4 zeo2	
行者	hang4 zé2	
烤鴨	hao1 ngab3	
哮喘	hao1 qun2	
巧辯	hao2 bin6	
考妣	hao2 béi2	
考察	hao2 cad3	
拷打	hao2 da2	
巧奪天工	hao2 düd6 tin1 gung1	
考古	hao2 gu2	
考古學	hao2 gu2 hog6	
巧合	hao2 heb6	
考核	hao2 hed6	
考起	hao2 héi2	被考倒了
考慮	hao2 lêu6	
考唔到	hao2 m4 dou2	考不上
考唔合格	hao2 m4 heb6 gag3	考不及格
拷問	hao2 men6	
巧妙	hao2 miu6	
考柯佬	hao2 o1 lou2	做口試
考牌	hao2 pai4	考執照，考汽車駕駛證
巧手	hao2 seo2	
考試	hao2 xi3	
考醫生牌	hao2 yi1 seng1 pai4	考行醫資格證
巧言	hao2 yin4	
巧言令色	hao2 yin4 ling6 xig1	
巧遇	hao2 yu6	
孝悌	hao3 dei6	
孝順	hao3 sên6	
姣	hao4	淫蕩，輕佻，放蕩
姣氣	hao4 héi3	威風
姣婆	hao4 po4	淫婦，騷貨，小騷貨
姣婆藍	hao4 po4 lam4	翠藍，孔雀藍
效果	hao6 gwo2	
效力	hao6 lig6	
效勞	hao6 lou4	
效率	hao6 lêd6	
效命	hao6 ming6	
效能	hao6 neng4	
效顰	hao6 pen4	
校舍	hao6 sé3	
效益	hao6 yig1	
效應	hao6 ying3	
校園	hao6 yun2	
效用	hao6 yung6	
效忠	hao6 zung1	
校長	hao6 zêng2	
恰	heb1	欺負
瞌	heb1	小睡，假睡，合眼
恰當	heb1 dong3	
瞌眼瞓	heb1 ngan5 fen3	打瞌睡
盒	heb6	盒子
合辦	heb6 ban6	
合併	heb6 bing3	
合唱團	heb6 cêng3 tün4	
合訂本	heb6 ding3 bun2	
合法	heb6 fad3	
合法化	heb6 fad3 fa3	
合夥	heb6 fo2	
合夥人	heb6 fo2 yen4	
闔府	heb6 fu2	全家，闔家
闔府安康	heb6 fu2 on1 hong1	全家安康，闔家安康
合乎	heb6 fu4	
合乎邏輯	heb6 fu4 lo4 ceb1	
合肥	heb6 féi4	
闔家	heb6 ga1	
闔家歡	heb6 ga1 fun1	
合家歡	heb6 ga1 fun1	
合格	heb6 gag3	
合計	heb6 gei3	
合金	heb6 gem1	
合久必分	heb6 geo2 bid1 fen1	
合股	heb6 gu2	
合好	heb6 hou2	
合資	heb6 ji1	
合照	heb6 jiu3	
合照留念	heb6 jiu3 leo4 nim6	
合流	heb6 leo4	
合理	heb6 léi5	
合理化	heb6 léi5 fa3	
闔埋雙眼	heb6 mai4 sêng1 ngan5	閉上眼睛
闔眼	heb6 ngan5	合眼，閉眼
磕破	heb6 po3	
磕碰	heb6 pung3	
合皮	heb6 péi4	開心，高興，心情好
合轍	heb6 qid3	
合情	heb6 qing4	
合情合理	heb6 qing4 heb6 léi5	
合身	heb6 sen1	
磕頭	heb6 teo4	
合桃	heb6 tou4	核桃
合桃酥	heb6 tou4 sou1	桃酥
合同	heb6 tung4	
合胃口	heb6 wei6 heo2	
合適	heb6 xig1	
合成	heb6 xing4	
合成物	heb6 xing4 med6	
合成纖維	heb6 xing4 qim1 wei4	
合成體	heb6 xing4 tei2	
合算	heb6 xun3	
合而為一	heb6 yi4 wei4 yed1	
合演	heb6 yin2	
合影	heb6 ying2	
合營	heb6 ying4	
和約	heb6 yêg3	
合約	heb6 yêg3	
盒仔飯	heb6 zei2 fan6	盒飯
合奏	heb6 zeo3	
合奏曲	heb6 zeo3 kug1	
合作	heb6 zog3	
合作社	heb6 zog3 sé5	
合租	heb6 zou1	
乞	hed1	討，乞求，乞討
乞求	hed1 keo4	
乞丐	hed1 koi3	
乞嗤	hed1 qi1	噴嚏
乞討	hed1 tou2	
乞食	hed1 xig6	討飯，要飯
乞人憎	hed1 yen4 zeng1	討人厭
乞兒	hed1 yi1	乞丐
乞兒公	hed1 yi1 gung1	老乞丐
核辦	hed6 ban6	
核爆	hed6 bao3	
核爆炸	hed6 bao3 za3	
核彈	hed6 dan6	
核蛋白	hed6 dan6 bag6	
核電	hed6 din6	
核電廠	hed6 din6 cong2	
核定	hed6 ding6	
轄地	hed6 déi6	
核對	hed6 dêu3	
核反應	hed6 fan2 ying3	
核反應堆	hed6 fan2 ying3 dêu1	
核分裂	hed6 fen1 lid6	
核飛彈	hed6 féi1 dan6	
核計	hed6 gei3	
核子	hed6 ji2	
核子彈	hed6 ji2 dan6	
核子彈頭	hed6 ji2 dan6 teo4	
核子戰爭	hed6 ji2 jin3 zeng1	
核子武器	hed6 ji2 mou5 héi3	
核子能	hed6 ji2 neng4	
核子潛艇	hed6 ji2 qim4 ting5	
核子試爆	hed6 ji2 xi3 bao3	
核戰	hed6 jin3	
核戰爭	hed6 jin3 zeng1	
轄區	hed6 kêu1	
核裂變	hed6 lid6 bin3	
核力	hed6 lig6	
檄文	hed6 men4	
核膜	hed6 mog6	
核武	hed6 mou5	
核武器	hed6 mou5 héi3	
核能	hed6 neng4	
核能發電廠	hed6 neng4 fad3 din6 cong2	
核潛艇	hed6 qim4 ting5	
核實	hed6 sed6	
核心	hed6 sem1	
核心人物	hed6 sem1 yen4 med6	
核糖酶	hed6 tong4 mui4	
核桃	hed6 tou4	
核黃素	hed6 wong4 sou3	
核試爆	hed6 xi3 bao3	
核試驗	hed6 xi3 yim6	
核銷	hed6 xiu1	
核算	hed6 xun3	
核仁	hed6 yen4	
核驗	hed6 yim6	
核燃料	hed6 yin4 liu6	
核融合	hed6 yung4 heb6	
核准	hed6 zên2	
黑	heg1	運氣不好，倒霉
黑白片	heg1 bag6 pin2	
黑板	heg1 ban2	
刻版	heg1 ban2	
刻版印刷	heg1 ban2 yen3 cad3	
刻不容緩	heg1 bed1 yung4 wun6	
刻薄	heg1 bog6	
克敵	heg1 dig6	
克敵制勝	heg1 dig6 zei3 xing3	
黑鯛	heg1 diu1	
黑暗	heg1 em3	
黑髮	heg1 fad3	
黑髮人	heg1 fad3 yen4	
刻苦	heg1 fu2	
刻苦耐勞	heg1 fu2 noi6 lou4	
克服	heg1 fug6	
黑啡	heg1 fé1	清咖啡，黑咖啡
黑鍵	heg1 gin6	
黑咕隆咚	heg1 gu1 lung4 dung1	
黑古勒特	heg1 gu2 leg6 deg6	黑不溜秋，黑黑的
黑工	heg1 gung1	非法勞工
刻骨銘心	heg1 gwed1 ming4 sem1	
黑過墨斗	heg1 gwo3 meg3 deo2	倒霉透了，十分倒霉
克己	heg1 géi2	
克己奉公	heg1 géi2 fung6 gung1	
黑口黑面	heg1 hou2 heg1 min6	黑著臉，板著臉，滿臉陰雲
黑痣	heg1 ji3	
刻字	heg1 ji6	
克勤克儉	heg1 ken4 heg1 gim6	
黑鯨	heg1 king4	
黑孖孖	heg1 ma1 ma1	黑漆漆，黑咪麻，黑洞洞的，黑咕隆冬
黑麥	heg1 meg6	
黑擝擝	heg1 meng1 meng1	黑黑的，黑漆漆，黑咕隆咚
黑麵包	heg1 min6 bao1	
黑名單	heg1 ming4 dan1	
黑莓	heg1 mui4	
黑超	heg1 qiu1	墨鏡，太陽鏡
黑社會	heg1 sé5 wui6	
黑體	heg1 tei2	
黑體字	heg1 tei2 ji6	
刻劃	heg1 wag6	
黑色	heg1 xig1	
剋星	heg1 xing1	
黑猩猩	heg1 xing1 xing1	
刻印	heg1 yen3	
刻意	heg1 yi3	
黑仔	heg1 zei2	倒楣
克制	heg1 zei3	
刻舟求劍	heg1 zeo1 keo4 gim3	
喺	hei2	在
喺邊度	hei2 bin1 dou6	在哪裡
喺…度	hei2 dou6	在…
喺度	hei2 dou6	在這裡，在那裡
喺企	hei2 kéi2	在家
喺屋企	hei2 ngug1 kéi2	在家
喺晒	hei2 sai3	都在，全部在
喺處	hei2 xu3	在這裡，在那裡
奚落	hei4 log6	
係	hei6	是
係吖！	hei6 a1	是啊！
係呀	hei6 a3	是啊
係衙？	hei6 a4	是嗎？
係噉噶啦	hei6 gem2 ga3 la3	就是這樣
系列	hei6 lid6	
係囉	hei6 lo1	是啊！
係路	hei6 lou6	對勁兒，對頭
係唔係	hei6 m4 hei6	是不是
係咪	hei6 mei6	是不是
係咪…先	hei6 mei6 xin1	是不是…？
係咪真嘅	hei6 mei6 zen1 gé3	是不是真的
係咩？	hei6 mé1	是嗎？，真的嗎？
係你先至好講呀	hei6 néi5 xin1 ji3 hou2 gong2 a3	不要信口開河
繫上	hei6 sêng6	
系統	hei6 tung2	
係人都	hei6 yen4 dou1	誰都
係人都知	hei6 yen4 dou1 ji1	人人皆知，誰都知道
係人都唔	hei6 yen4 dou1 m4	誰都不
校勘	hem1 gao3	
勘正	hem1 jing3	
戡亂	hem1 lün6	
勘誤	hem1 ng6	
勘誤表	hem1 ng6 biu2	
堪稱	hem1 qing1	
堪輿	hem1 yu4	
扻	hem2	碰
扻崩頭	hem2 beng1 teo4	磕破頭
扻親	hem2 cen1	碰傷，碰著
砍伐	hem2 fed6	
坎坷	hem2 ho2	
坎坷不平	hem2 ho2 bed1 ping4	
扻爛	hem2 lan6	碰破
扻頭埋牆	hem2 teo4 mai4 cêng4	自懲，自討苦吃，自己作賤
堪	hem3	碼頭
勘查	hem3 ca4	
勘察	hem3 ca4	
勘測	hem3 ceg1	
勘測隊	hem3 ceg1 dêu6	
勘測員	hem3 ceg1 yun4	
勘亂	hem3 lün3	
勘探	hem3 tam3	
勘探隊	hem3 tam3 dêu6	
勘探員	hem3 tam3 yun4	
勘驗	hem3 yim6	
勘災	hem3 zoi1	
含苞待放	hem4 bao1 doi6 fong3	
含蓄	hem4 cug1	
含垢忍辱	hem4 geo3 yen2 yug6	
含含糊糊	hem4 hem4 wu4 wu4	
含恨	hem4 hen6	
含血噴人	hem4 hüd3 pen3 yen4	
含量	hem4 lêng6	
含淚	hem4 lêu6	
含情	hem4 qing4	
含情脈脈	hem4 qing4 meg6 meg6	
含辛茹苦	hem4 sen1 yu4 fu2	
含羞	hem4 seo1	
含羞草	hem4 seo1 cou2	
含水	hem4 sêu2	
含水量	hem4 sêu2 lêng6	
酣睡	hem4 sêu6	
含蘊	hem4 wen3	
含糊	hem4 wu4	
含糊不清	hem4 wu4 bed1 qing1	
含糊其詞	hem4 wu4 kéi4 qi4	
含笑	hem4 xiu3	
含酸	hem4 xun1	
含有	hem4 yeo5	
含意	hem4 yi3	
含飴弄孫	hem4 yi4 lung6 xun1	
含義	hem4 yi6	
含冤	hem4 yun1	
含冤而死	hem4 yun1 yi4 séi2	
冚	hem6	嚴密
冚唪唥	hem6 bang6 lang6	全部，統統
冚家	hem6 ga1	全家
冚家鏟	hem6 ga1 can2	全家死絕，斷子絕孫，全家死光
冚家富貴	hem6 ga1 fu3 gwei3	全家倒楣
墾地	hen2 déi6	
墾荒	hen2 fong1	
懇摯	hen2 ji3	
墾殖	hen2 jig6	
懇求	hen2 keo4	
懇切	hen2 qid3	
懇請	hen2 qing2	
痕	hen4	癢
痕跡	hen4 jig1	
恨不相逢未嫁時	hen6 bed1 sêng1 fung4 méi6 ga3 xi4	
恨死	hen6 séi2	
恨透	hen6 teo3	
恨鐵不成鋼	hen6 tid3 bed1 xing4 gong1	
恨意	hen6 yi3	
莖部	heng1 bou6	
鏗鏘	heng1 cêng1	
哼唱	heng1 cêng3	
哼歌	heng1 go1	
肯定	heng2 ding6	
啃咬	heng2 ngao5	
啃噬	heng2 sei6	
啃書	heng2 xu1	
恆壓	heng4 ad3	
行筆	heng4 bed1	
恆產	heng4 can2	
恆等	heng4 deng2	
恆等式	heng4 deng2 xig1	
恆定	heng4 ding6	
行動	heng4 dung6	
行動不便	heng4 dung6 bed1 bin6	
行動電話	heng4 dung6 din6 wa2	
行動自如	heng4 dung6 ji6 yu4	
行房	heng4 fong4	
恆久	heng4 geo2	
行劫	heng4 gib3	
行經	heng4 ging1	
行徑	heng4 ging3	
行軍	heng4 gwen1	
行腳	heng4 gêg3	
行腳僧	heng4 gêg3 zeng1	
行俠仗義	heng4 hab6 zêng6 yi6	
行孝	heng4 hao3	
行乞	heng4 hed1	
行憲	heng4 hin3	
恆河沙數	heng4 ho4 sa1 sou3	
行兇	heng4 hung1	
行兇殺人	heng4 hung1 sad3 yen4	
行政部門	heng4 jing3 bou6 mun4	
行政部長	heng4 jing3 bou6 zêng2	
行政單位	heng4 jing3 dan1 wei6	
行政法	heng4 jing3 fad3	
行政官	heng4 jing3 gun1	
行政管理	heng4 jing3 gun2 léi5	
行政效率	heng4 jing3 hao6 lêd6	
行政區	heng4 jing3 kêu1	
行政權	heng4 jing3 kün4	
行政院	heng4 jing3 yun6	
行政院長	heng4 jing3 yun6 zêng2	
行政長官	heng4 jing3 zêng2 gun1	
行禮	heng4 lei5	
行獵	heng4 lib6	
行李	heng4 léi5	
行李車	heng4 léi5 cé1	
行李架	heng4 léi5 ga2	
行李箱	heng4 léi5 sêng1	
衡量	heng4 lêng4	
恆量	heng4 lêng6	
行文	heng4 men4	
行文流暢	heng4 men4 leo4 cêng3	
行囊	heng4 nong4	
行騙	heng4 pin3	
恆齒	heng4 qi2	
行刺	heng4 qig3	
行程	heng4 qing4	
行駛	heng4 sei2	
恆心	heng4 sem1	
恆常	heng4 sêng4	
行為	heng4 wei4	
行為科學	heng4 wei4 fo1 hog6	
行為主義	heng4 wei4 ju2 yi6	
恆溫	heng4 wen1	
恆溫層	heng4 wen1 ceng4	
恆溫器	heng4 wen1 héi3	
行屍走肉	heng4 xi1 zeo2 yug6	
行尸走肉	heng4 xi1 zeo2 yug6	
行使	heng4 xi2	
行使職權	heng4 xi2 jig1 kün4	
行事	heng4 xi6	
行竊	heng4 xid3	
行善	heng4 xin6	
行善不欲人知	heng4 xin6 bed1 yug6 yen4 ji1	
恆星	heng4 xing1	
行星	heng4 xing1	
恆星年	heng4 xing1 nin4	
恆星日	heng4 xing1 yud6	
行銷	heng4 xiu1	
行書	heng4 xu1	
行人	heng4 yen4	
恆有	heng4 yeo5	
行醫	heng4 yi1	
行義	heng4 yi6	
恆言	heng4 yin4	
行刑	heng4 ying4	
行蹤	heng4 zung1	
行蹤不明	heng4 zung1 bed1 ming4	
行蹤飄忽	heng4 zung1 piu1 fed1	
行進	heng4 zên3	
行將就木	heng4 zêng1 zeo6 mug6	
杏花	heng6 fa1	
幸福	heng6 fug1	
幸福家庭	heng6 fug1 ga1 ting4	
悻悻離去	heng6 heng6 léi4 hêu3	
幸好	heng6 hou2	
幸虧	heng6 kwei1	
杏林	heng6 lem4	
倖免	heng6 min5	
倖免於難	heng6 min5 yu1 nan6	
杏眼	heng6 ngan5	
杏脯	heng6 pou2	
倖存	heng6 qun4	
倖存者	heng6 qun4 zé2	
幸運	heng6 wen6	
幸運兒	heng6 wen6 yi4	
杏黃	heng6 wong4	
杏樹	heng6 xu6	
杏仁	heng6 yen4	
幸而	heng6 yi4	
幸災樂禍	heng6 zoi1 log6 wo6	
行將	heng6 zêng1	
吼	heo1	看守，注意，留意，光顧，追求
吼斗	heo1 deo2	光顧；想要
吼機會	heo1 géi1 wui6	等待時機，尋找機會
吼住	heo1 ju6	留意，注意，看著
口	heo2	嘴，嘴巴
口不擇言	heo2 bed1 zag6 yin4	
口部	heo2 bou6	
口碑載道	heo2 béi1 zoi3 dou6	
口臭	heo2 ceo3	
口臭	heo2 ceo3	口不擇言，說三道四，說話不對頭
口才	heo2 coi4	
口出穢言	heo2 cêd1 wei3 yin4	
口德	heo2 deg1	
口多多	heo2 do1 do1	多嘴多舌
口花花	heo2 fa1 fa1	多嘴，亂說話，花言巧語
口腹	heo2 fug1	
口腹之慾	heo2 fug1 ji1 yug6	
口服	heo2 fug6	
口福	heo2 fug6	
口服心不服	heo2 fug6 sem1 bed1 fug6	
口服心服	heo2 fug6 sem1 fug6	
口服藥	heo2 fug6 yêg6	
口風	heo2 fung1	
口風琴	heo2 fung1 kem4	
口感	heo2 gem2	
口徑	heo2 ging3	
口角	heo2 gog3	
口乾	heo2 gon1	
口乾	heo2 gon1	口渴
口供	heo2 gung1	
口嚡脷素	heo2 hai4 léi6 sou3	口淡而澀
口口聲聲	heo2 heo2 xing1 xing1	
口渴	heo2 hod3	
口腔	heo2 hong1	
口腔癌	heo2 hong1 ngam4	
口腔衛生	heo2 hong1 wei6 seng1	
口號	heo2 hou6	
口氣	heo2 héi3	
口輕輕	heo2 héng1 héng1	隨便許諾，愛說大話，言而無信
口誅筆伐	heo2 ju1 bed1 fed6	
口琴	heo2 kem4	
口訣	heo2 küd3	
口立濕	heo2 leb6 seb1	零食
口令	heo2 ling6	
口唔對心	heo2 m4 dêu3 sem1	心口不一
口碼	heo2 ma5	口才
口擘擘	heo2 mag3 mag3	氣喘，氣喘吁吁，氣喘如牛
口蜜腹劍	heo2 med6 fug1 gim3	
口吻	heo2 men5	
口味	heo2 méi6	
口誤	heo2 ng6	
口硬	heo2 ngang6	嘴硬
口噏噏	heo2 ngeb1 ngeb1	喋喋不休，說個不停
口齒	heo2 qi2	信用
口齒	heo2 qi2	
口齒不清	heo2 qi2 bed1 qing1	
口齒伶俐	heo2 qi2 ling4 léi6	
口哨	heo2 sao3	
口實	heo2 sed6	
口述	heo2 sêd6	
口唇	heo2 sên4	嘴唇
口水	heo2 sêu2	
口水多過茶	heo2 sêu2 do1 gwo3 ca4	囉嗦，話多，大耍嘴皮子，嘮嘮叨叨沒個完
口水花	heo2 sêu2 fa1	唾沫星子
口水佬	heo2 sêu2 lou2	嘴巴式
口水溦	heo2 sêu2 méi1	唾沫星子
口水痰	heo2 sêu2 tam4	痰
口蹄疫	heo2 tei4 yig6	
口頭	heo2 teo4	
口頭禪	heo2 teo4 xim4	
口頭語	heo2 teo4 yu5	
口甜舌滑	heo2 tim4 xid3 wad6	油腔滑調，油嘴滑舌
口吐白沫	heo2 tou3 bag6 mud3	
口試	heo2 xi3	
口是心非	heo2 xi6 sem1 féi1	
口舌	heo2 xid3	
口舌之爭	heo2 xid3 ji1 zeng1	
口說無憑	heo2 xud3 mou4 peng4	
口音	heo2 yem1	
口印	heo2 yen3	
口耳相傳	heo2 yi5 sêng1 qun4	
口譯	heo2 yig6	
口譯員	heo2 yig6 yun4	
口語	heo2 yu5	
口語化	heo2 yu5 fa3	
口若懸河	heo2 yêg6 yun4 ho4	
口罩	heo2 zao3	
口窒窒	heo2 zed6 zed6	結結巴巴
口震	heo2 zen3	口吃，說話結結巴巴
口震震	heo2 zen3 zen3	結結巴巴
喉欖	heo4 lam2	喉結
喉轆	heo4 lug1	消防水龍，消防水帶，消防水管
喉嚨	heo4 lung4	嗓子，喉嚨
喉嚨痛	heo4 lung4 tung3	嗓子疼，喉嚨痛
喉核	heo4 wed6	喉結
厚祿	heo5 lug6	
後便	heo6 bin6	後面，後邊
候補	heo6 bou2	
後輩	heo6 bui3	
後半	heo6 bun3	
後半部	heo6 bun3 bou6	
後半場	heo6 bun3 cêng4	
候診	heo6 cen2	
候診室	heo6 cen2 sed1	
候車	heo6 cé1	
候車室	heo6 cé1 sed1	
候車亭	heo6 cé1 ting4	
後代	heo6 doi6	
後花園	heo6 fa1 yun4	
後方	heo6 fong1	
後防	heo6 fong4	
後悔	heo6 fui3	
後悔莫及	heo6 fui3 mog6 keb6	
候教	heo6 gao3	
後勁	heo6 ging3	
後顧之憂	heo6 gu3 ji1 yeo1	
後宮	heo6 gung1	
後果	heo6 gwo2	
後果不堪設想	heo6 gwo2 bed1 hem1 qid3 sêng2	
候機	heo6 géi1	
候機室	heo6 géi1 sed1	
後腳	heo6 gêg3	
候客室	heo6 hag3 sed1	
後漢	heo6 hon3	
後肢	heo6 ji1	
後嗣	heo6 ji6	
後勤	heo6 ken4	
後勤部	heo6 ken4 bou6	
後勤區	heo6 ken4 kêu1	
後勤人員	heo6 ken4 yen4 yun4	
後期	heo6 kéi4	
後力不繼	heo6 lig6 bed1 gei3	
後來	heo6 loi4	
後來居上	heo6 loi4 gêu1 sêng6	
後浪推前浪	heo6 long6 têu1 qin4 long6	
後嚟	heo6 léi4	後來
後文	heo6 men4	
後面	heo6 min6	
候命	heo6 ming6	
後望鏡	heo6 mong6 géng3	
後母	heo6 mou5	
後門	heo6 mun4	
後尾	heo6 méi5	後來，最後，末尾
後尾枕	heo6 méi5 zem2	後腦勺
候鳥	heo6 niu5	
後腦勺	heo6 nou5 zêg3	
後排	heo6 pai4	
後撤	heo6 qid3	
後生	heo6 sang1	年輕
後世	heo6 sei3	
候審	heo6 sem2	
後生	heo6 seng1	
後生可畏	heo6 seng1 ho2 wei3	
後天	heo6 tin1	
後天免疫	heo6 tin1 min5 yig6	
後天性	heo6 tin1 xing3	
後台	heo6 toi4	
後盾	heo6 tên5	
後退	heo6 têu3	
後患	heo6 wan6	
後患無窮	heo6 wan6 mou4 kung4	
後遺症	heo6 wei4 jing3	
後會有期	heo6 wui6 yeo5 kéi4	
後援	heo6 wun4	
後援軍	heo6 wun4 gwen1	
後事之師	heo6 xi6 ji1 xi1	
候選	heo6 xun2	
候選人	heo6 xun2 yen4	
候船	heo6 xun4	
候船室	heo6 xun4 sed1	
後人	heo6 yen4	
後人乘涼	heo6 yen4 xing4 lêng4	
後葉	heo6 yib6	
鱟魚	heo6 yu4	
後園	heo6 yun4	
後院	heo6 yun6	
後裔	heo6 yêu6	
後枕	heo6 zem2	後腦勺
後座	heo6 zo6	
後座力	heo6 zo6 lig6	
後者	heo6 zé2	
脅迫	hib3 bag1	
怯場	hib3 cêng4	
怯懦	hib3 no6	
挾持	hib3 qi4	
怯生生	hib3 seng1 seng1	
怯頭怯腦	hib3 teo4 hib3 nou5	
協調	hib3 tiu4	
協會	hib3 wui6	
怯意	hib3 yi3	
協議	hib3 yi5	
怯弱	hib3 yêg6	
協助	hib3 zo6	
愜意	hib6 yi3	
蠍	hid3	蝎子
歇手	hid3 seo2	停手
謙虛	him1 hêu1	
謙遜	him1 sên3	
謙讓	him1 yêng6	
險境	him2 ging2	
險灘	him2 tan1	
險遭不測	him2 zou1 bed1 ceg1	
險遭毒手	him2 zou1 dug6 seo2	
險峻	him2 zên3	
欠缺	him3 küd3	
芡實	him3 sed6	
險勝	him3 xing3	
欠債	him3 zai3	
牽絆	hin1 bun6	
牽扯	hin1 cé2	
牽腸掛肚	hin1 cêng4 gwa3 tou5	
牽動	hin1 dung6	
牽掛	hin1 gwa3	
掀起	hin1 héi2	
牽強	hin1 kêng5	
牽強附會	hin1 kêng5 fu6 wui6	
牽拉	hin1 lai1	
牽連	hin1 lin4	
牽累	hin1 lêu5	
牽牛	hin1 ngeo4	
牽牛花	hin1 ngeo4 fa1	
牽念	hin1 nim6	
牽纏	hin1 qin4	
牽手	hin1 seo2	
牽涉	hin1 xib3	
牽線	hin1 xin3	
牽線人	hin1 xin3 yen4	
牽一髮而動全身	hin1 yed1 fad3 yi4 dung6 qun4 sen1	
牽引	hin1 yen5	
牽引機	hin1 yen5 géi1	
牽引力	hin1 yen5 lig6	
牽制	hin1 zei3	
牽掣	hin1 zei3	
顯出	hin2 cêd1	
顯得	hin2 deg1	
顯赫	hin2 hag1	
顯學	hin2 hog6	
顯明	hin2 ming4	
顯微鏡	hin2 méi4 géng3	
顯示	hin2 xi6	
顯而易見	hin2 yi4 yi6 gin3	
顯然	hin2 yin4	
顯影	hin2 ying2	
顯影紙	hin2 ying2 ji2	
顯影液	hin2 ying2 yig6	
顯影劑	hin2 ying2 zei1	
譴責	hin2 zag3	
顯像	hin2 zêng6	
獻寶	hin3 bou2	
獻策	hin3 cag3	
獻醜	hin3 ceo2	
獻出	hin3 cêd1	
獻花	hin3 fa1	
獻計	hin3 gei3	
獻金	hin3 gem1	
獻技	hin3 géi6	
獻拙	hin3 jud3	
獻給	hin3 keb1	
獻旗	hin3 kéi4	
獻禮	hin3 lei5	
獻媚	hin3 méi6	
獻藝	hin3 ngei6	
獻詞	hin3 qi4	
獻辭	hin3 qi4	
獻世	hin3 sei3	敗家，現世，現眼
獻身	hin3 sen1	
獻上	hin3 sêng6	
獻詩	hin3 xi1	
獻殷勤	hin3 yen1 ken4	
獻言	hin3 yin4	
獻酒	hin3 zeo2	
興	hing1	流行，時興
輕壓	hing1 ad3	
興辦	hing1 ban6	
輕便	hing1 bin6	
輕兵	hing1 bing1	
興兵	hing1 bing1	
輕薄	hing1 bog6	
輕重	hing1 cung5	
輕脆	hing1 cêu3	
兄弟	hing1 dei6	
輕敵	hing1 dig6	
輕度	hing1 dou6	
興奮	hing1 fen5	
輕放	hing1 fong3	
輕風	hing1 fung1	
興革	hing1 gag3	
輕金屬	hing1 gem1 sug6	
興建	hing1 gin3	
輕功	hing1 gung1	
興工	hing1 gung1	
輕工	hing1 gung1	
輕工業	hing1 gung1 yib6	
輕機槍	hing1 géi1 cêng1	
輕舉妄動	hing1 gêu2 mong5 dung6	
輕巧	hing1 hao2	
輕巧方便	hing1 hao2 fong1 bin6	
輕輕	hing1 hing1	
卿卿我我	hing1 hing1 ngo5 ngo5	
輕輕鬆鬆	hing1 hing1 sung1 sung1	
興起	hing1 héi2	
氫氣	hing1 héi3	
馨香	hing1 hêng1	
輕捷	hing1 jid6	
輕騎	hing1 ké4	
輕騎兵	hing1 ké4 bing1	
興隆	hing1 lung4	
輕慢	hing1 man6	
輕蔑	hing1 mid6	
輕描淡寫	hing1 miu4 dam6 sé2	
輕妙	hing1 miu6	
興亡	hing1 mong4	
輕武器	hing1 mou5 héi3	
輕微	hing1 méi4	
輕飄	hing1 piu1	
輕心	hing1 sem1	
輕生	hing1 seng1	
興修	hing1 seo1	
輕鬆愉快	hing1 sung1 yu4 fai3	
輕信	hing1 sên3	
輕傷	hing1 sêng1	
興衰	hing1 sêu1	
興旺	hing1 wong6	
輕視	hing1 xi6	
輕聲	hing1 xing1	
興盛	hing1 xing6	
輕音樂	hing1 yem1 ngog6	
輕易	hing1 yi6	
輕型	hing1 ying4	
輕如羽毛	hing1 yu4 yu5 mou4	
輕裝	hing1 zong1	
焮	hing3	熱，燙
焮	hing3	生氣，發怒
焮	hing3	熱鬧
