开放粤语词典（广州拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［广州拼音］	［国语解释］
勘察	hem3 ca4	
勘测	hem3 ceg1	
勘测队	hem3 ceg1 dêu6	
勘测员	hem3 ceg1 yun4	
勘乱	hem3 lün3	
勘探	hem3 tam3	
勘探队	hem3 tam3 dêu6	
勘探员	hem3 tam3 yun4	
勘验	hem3 yim6	
勘灾	hem3 zoi1	
含苞待放	hem4 bao1 doi6 fong3	
含蓄	hem4 cug1	
含垢忍辱	hem4 geo3 yen2 yug6	
含含糊糊	hem4 hem4 wu4 wu4	
含恨	hem4 hen6	
含血喷人	hem4 hüd3 pen3 yen4	
含量	hem4 lêng6	
含泪	hem4 lêu6	
含情	hem4 qing4	
含情脉脉	hem4 qing4 meg6 meg6	
含辛茹苦	hem4 sen1 yu4 fu2	
含羞	hem4 seo1	
含羞草	hem4 seo1 cou2	
含水	hem4 sêu2	
含水量	hem4 sêu2 lêng6	
酣睡	hem4 sêu6	
含蕴	hem4 wen3	
含糊	hem4 wu4	
含糊不清	hem4 wu4 bed1 qing1	
含糊其词	hem4 wu4 kéi4 qi4	
含笑	hem4 xiu3	
含酸	hem4 xun1	
含有	hem4 yeo5	
含意	hem4 yi3	
含饴弄孙	hem4 yi4 lung6 xun1	
含义	hem4 yi6	
含冤	hem4 yun1	
含冤而死	hem4 yun1 yi4 séi2	
冚	hem6	严密
冚唪唥	hem6 bang6 lang6	全部，统统
冚家	hem6 ga1	全家
冚家铲	hem6 ga1 can2	全家死绝，断子绝孙，全家死光
冚家富贵	hem6 ga1 fu3 gwei3	全家倒楣
垦地	hen2 déi6	
垦荒	hen2 fong1	
恳挚	hen2 ji3	
垦殖	hen2 jig6	
恳求	hen2 keo4	
恳切	hen2 qid3	
恳请	hen2 qing2	
痕	hen4	痒
痕迹	hen4 jig1	
恨不相逢未嫁时	hen6 bed1 sêng1 fung4 méi6 ga3 xi4	
恨死	hen6 séi2	
恨透	hen6 teo3	
恨铁不成钢	hen6 tid3 bed1 xing4 gong1	
恨意	hen6 yi3	
茎部	heng1 bou6	
铿锵	heng1 cêng1	
哼唱	heng1 cêng3	
哼歌	heng1 go1	
肯定	heng2 ding6	
啃咬	heng2 ngao5	
啃噬	heng2 sei6	
啃书	heng2 xu1	
恒压	heng4 ad3	
行笔	heng4 bed1	
恒产	heng4 can2	
恒等	heng4 deng2	
恒等式	heng4 deng2 xig1	
恒定	heng4 ding6	
行动	heng4 dung6	
行动不便	heng4 dung6 bed1 bin6	
行动电话	heng4 dung6 din6 wa2	
行动自如	heng4 dung6 ji6 yu4	
行房	heng4 fong4	
恒久	heng4 geo2	
行劫	heng4 gib3	
行经	heng4 ging1	
行径	heng4 ging3	
行军	heng4 gwen1	
行脚	heng4 gêg3	
行脚僧	heng4 gêg3 zeng1	
行侠仗义	heng4 hab6 zêng6 yi6	
行孝	heng4 hao3	
行乞	heng4 hed1	
行宪	heng4 hin3	
恒河沙数	heng4 ho4 sa1 sou3	
行凶	heng4 hung1	
行凶杀人	heng4 hung1 sad3 yen4	
行政部门	heng4 jing3 bou6 mun4	
行政部长	heng4 jing3 bou6 zêng2	
行政单位	heng4 jing3 dan1 wei6	
行政法	heng4 jing3 fad3	
行政官	heng4 jing3 gun1	
行政管理	heng4 jing3 gun2 léi5	
行政效率	heng4 jing3 hao6 lêd6	
行政区	heng4 jing3 kêu1	
行政权	heng4 jing3 kün4	
行政院	heng4 jing3 yun6	
行政院长	heng4 jing3 yun6 zêng2	
行政长官	heng4 jing3 zêng2 gun1	
行礼	heng4 lei5	
行猎	heng4 lib6	
行李	heng4 léi5	
行李车	heng4 léi5 cé1	
行李架	heng4 léi5 ga2	
行李箱	heng4 léi5 sêng1	
衡量	heng4 lêng4	
恒量	heng4 lêng6	
行文	heng4 men4	
行文流畅	heng4 men4 leo4 cêng3	
行囊	heng4 nong4	
行骗	heng4 pin3	
恒齿	heng4 qi2	
行刺	heng4 qig3	
行程	heng4 qing4	
行驶	heng4 sei2	
恒心	heng4 sem1	
恒常	heng4 sêng4	
行为	heng4 wei4	
行为科学	heng4 wei4 fo1 hog6	
行为主义	heng4 wei4 ju2 yi6	
恒温	heng4 wen1	
恒温层	heng4 wen1 ceng4	
恒温器	heng4 wen1 héi3	
行尸走肉	heng4 xi1 zeo2 yug6	
行尸走肉	heng4 xi1 zeo2 yug6	
行使	heng4 xi2	
行使职权	heng4 xi2 jig1 kün4	
行事	heng4 xi6	
行窃	heng4 xid3	
行善	heng4 xin6	
行善不欲人知	heng4 xin6 bed1 yug6 yen4 ji1	
恒星	heng4 xing1	
行星	heng4 xing1	
恒星年	heng4 xing1 nin4	
恒星日	heng4 xing1 yud6	
行销	heng4 xiu1	
行书	heng4 xu1	
行人	heng4 yen4	
恒有	heng4 yeo5	
行医	heng4 yi1	
行义	heng4 yi6	
恒言	heng4 yin4	
行刑	heng4 ying4	
行踪	heng4 zung1	
行踪不明	heng4 zung1 bed1 ming4	
行踪飘忽	heng4 zung1 piu1 fed1	
行进	heng4 zên3	
行将就木	heng4 zêng1 zeo6 mug6	
杏花	heng6 fa1	
幸福	heng6 fug1	
幸福家庭	heng6 fug1 ga1 ting4	
悻悻离去	heng6 heng6 léi4 hêu3	
幸好	heng6 hou2	
幸亏	heng6 kwei1	
杏林	heng6 lem4	
幸免	heng6 min5	
幸免于难	heng6 min5 yu1 nan6	
杏眼	heng6 ngan5	
杏脯	heng6 pou2	
幸存	heng6 qun4	
幸存者	heng6 qun4 zé2	
幸运	heng6 wen6	
幸运儿	heng6 wen6 yi4	
杏黄	heng6 wong4	
杏树	heng6 xu6	
杏仁	heng6 yen4	
幸而	heng6 yi4	
幸灾乐祸	heng6 zoi1 log6 wo6	
行将	heng6 zêng1	
吼	heo1	看守，注意，留意，光顾，追求
吼斗	heo1 deo2	光顾；想要
吼机会	heo1 géi1 wui6	等待时机，寻找机会
吼住	heo1 ju6	留意，注意，看着
口	heo2	嘴，嘴巴
口不择言	heo2 bed1 zag6 yin4	
口部	heo2 bou6	
口碑载道	heo2 béi1 zoi3 dou6	
口臭	heo2 ceo3	
口臭	heo2 ceo3	口不择言，说三道四，说话不对头
口才	heo2 coi4	
口出秽言	heo2 cêd1 wei3 yin4	
口德	heo2 deg1	
口多多	heo2 do1 do1	多嘴多舌
口花花	heo2 fa1 fa1	多嘴，乱说话，花言巧语
口腹	heo2 fug1	
口腹之欲	heo2 fug1 ji1 yug6	
口服	heo2 fug6	
口福	heo2 fug6	
口服心不服	heo2 fug6 sem1 bed1 fug6	
口服心服	heo2 fug6 sem1 fug6	
口服药	heo2 fug6 yêg6	
口风	heo2 fung1	
口风琴	heo2 fung1 kem4	
口感	heo2 gem2	
口径	heo2 ging3	
口角	heo2 gog3	
口干	heo2 gon1	
口干	heo2 gon1	口渴
口供	heo2 gung1	
口嚡脷素	heo2 hai4 léi6 sou3	口淡而涩
口口声声	heo2 heo2 xing1 xing1	
口渴	heo2 hod3	
口腔	heo2 hong1	
口腔癌	heo2 hong1 ngam4	
口腔卫生	heo2 hong1 wei6 seng1	
口号	heo2 hou6	
口气	heo2 héi3	
口轻轻	heo2 héng1 héng1	随便许诺，爱说大话，言而无信
口诛笔伐	heo2 ju1 bed1 fed6	
口琴	heo2 kem4	
口诀	heo2 küd3	
口立湿	heo2 leb6 seb1	零食
口令	heo2 ling6	
口唔对心	heo2 m4 dêu3 sem1	心口不一
口码	heo2 ma5	口才
口擘擘	heo2 mag3 mag3	气喘，气喘吁吁，气喘如牛
口蜜腹剑	heo2 med6 fug1 gim3	
口吻	heo2 men5	
口味	heo2 méi6	
口误	heo2 ng6	
口硬	heo2 ngang6	嘴硬
口噏噏	heo2 ngeb1 ngeb1	喋喋不休，说个不停
口齿	heo2 qi2	信用
口齿	heo2 qi2	
口齿不清	heo2 qi2 bed1 qing1	
口齿伶俐	heo2 qi2 ling4 léi6	
口哨	heo2 sao3	
口实	heo2 sed6	
口述	heo2 sêd6	
口唇	heo2 sên4	嘴唇
口水	heo2 sêu2	
口水多过茶	heo2 sêu2 do1 gwo3 ca4	啰嗦，话多，大耍嘴皮子，唠唠叨叨没个完
口水花	heo2 sêu2 fa1	唾沫星子
口水佬	heo2 sêu2 lou2	嘴巴式
口水溦	heo2 sêu2 méi1	唾沫星子
口水痰	heo2 sêu2 tam4	痰
口蹄疫	heo2 tei4 yig6	
口头	heo2 teo4	
口头禅	heo2 teo4 xim4	
口头语	heo2 teo4 yu5	
口甜舌滑	heo2 tim4 xid3 wad6	油腔滑调，油嘴滑舌
口吐白沫	heo2 tou3 bag6 mud3	
口试	heo2 xi3	
口是心非	heo2 xi6 sem1 féi1	
口舌	heo2 xid3	
口舌之争	heo2 xid3 ji1 zeng1	
口说无凭	heo2 xud3 mou4 peng4	
口音	heo2 yem1	
口印	heo2 yen3	
口耳相传	heo2 yi5 sêng1 qun4	
口译	heo2 yig6	
口译员	heo2 yig6 yun4	
口语	heo2 yu5	
口语化	heo2 yu5 fa3	
口若悬河	heo2 yêg6 yun4 ho4	
口罩	heo2 zao3	
口窒窒	heo2 zed6 zed6	结结巴巴
口震	heo2 zen3	口吃，说话结结巴巴
口震震	heo2 zen3 zen3	结结巴巴
喉榄	heo4 lam2	喉结
喉辘	heo4 lug1	消防水龙，消防水带，消防水管
喉咙	heo4 lung4	嗓子，喉咙
喉咙痛	heo4 lung4 tung3	嗓子疼，喉咙痛
喉核	heo4 wed6	喉结
厚禄	heo5 lug6	
后便	heo6 bin6	后面，后边
候补	heo6 bou2	
后辈	heo6 bui3	
后半	heo6 bun3	
后半部	heo6 bun3 bou6	
后半场	heo6 bun3 cêng4	
候诊	heo6 cen2	
候诊室	heo6 cen2 sed1	
候车	heo6 cé1	
候车室	heo6 cé1 sed1	
候车亭	heo6 cé1 ting4	
后代	heo6 doi6	
后花园	heo6 fa1 yun4	
后方	heo6 fong1	
后防	heo6 fong4	
后悔	heo6 fui3	
后悔莫及	heo6 fui3 mog6 keb6	
候教	heo6 gao3	
后劲	heo6 ging3	
后顾之忧	heo6 gu3 ji1 yeo1	
后宫	heo6 gung1	
后果	heo6 gwo2	
后果不堪设想	heo6 gwo2 bed1 hem1 qid3 sêng2	
候机	heo6 géi1	
候机室	heo6 géi1 sed1	
后脚	heo6 gêg3	
候客室	heo6 hag3 sed1	
后汉	heo6 hon3	
后肢	heo6 ji1	
后嗣	heo6 ji6	
后勤	heo6 ken4	
后勤部	heo6 ken4 bou6	
后勤区	heo6 ken4 kêu1	
后勤人员	heo6 ken4 yen4 yun4	
后期	heo6 kéi4	
后力不继	heo6 lig6 bed1 gei3	
后来	heo6 loi4	
后来居上	heo6 loi4 gêu1 sêng6	
后浪推前浪	heo6 long6 têu1 qin4 long6	
后嚟	heo6 léi4	后来
后文	heo6 men4	
后面	heo6 min6	
候命	heo6 ming6	
后望镜	heo6 mong6 géng3	
后母	heo6 mou5	
后门	heo6 mun4	
后尾	heo6 méi5	后来，最后，末尾
后尾枕	heo6 méi5 zem2	后脑勺
候鸟	heo6 niu5	
后脑勺	heo6 nou5 zêg3	
后排	heo6 pai4	
后撤	heo6 qid3	
后生	heo6 sang1	年轻
后世	heo6 sei3	
候审	heo6 sem2	
后生	heo6 seng1	
后生可畏	heo6 seng1 ho2 wei3	
后天	heo6 tin1	
后天免疫	heo6 tin1 min5 yig6	
后天性	heo6 tin1 xing3	
后台	heo6 toi4	
后盾	heo6 tên5	
后退	heo6 têu3	
后患	heo6 wan6	
后患无穷	heo6 wan6 mou4 kung4	
后遗症	heo6 wei4 jing3	
后会有期	heo6 wui6 yeo5 kéi4	
后援	heo6 wun4	
后援军	heo6 wun4 gwen1	
后事之师	heo6 xi6 ji1 xi1	
候选	heo6 xun2	
候选人	heo6 xun2 yen4	
候船	heo6 xun4	
候船室	heo6 xun4 sed1	
后人	heo6 yen4	
后人乘凉	heo6 yen4 xing4 lêng4	
后叶	heo6 yib6	
鲎鱼	heo6 yu4	
后园	heo6 yun4	
后院	heo6 yun6	
后裔	heo6 yêu6	
后枕	heo6 zem2	后脑勺
后座	heo6 zo6	
后座力	heo6 zo6 lig6	
后者	heo6 zé2	
胁迫	hib3 bag1	
怯场	hib3 cêng4	
怯懦	hib3 no6	
挟持	hib3 qi4	
怯生生	hib3 seng1 seng1	
怯头怯脑	hib3 teo4 hib3 nou5	
协调	hib3 tiu4	
协会	hib3 wui6	
怯意	hib3 yi3	
协议	hib3 yi5	
怯弱	hib3 yêg6	
协助	hib3 zo6	
惬意	hib6 yi3	
蠍	hid3	蝎子
歇手	hid3 seo2	停手
谦虚	him1 hêu1	
谦逊	him1 sên3	
谦让	him1 yêng6	
险境	him2 ging2	
险滩	him2 tan1	
险遭不测	him2 zou1 bed1 ceg1	
险遭毒手	him2 zou1 dug6 seo2	
险峻	him2 zên3	
欠缺	him3 küd3	
芡实	him3 sed6	
险胜	him3 xing3	
欠债	him3 zai3	
牵绊	hin1 bun6	
牵扯	hin1 cé2	
牵肠挂肚	hin1 cêng4 gwa3 tou5	
牵动	hin1 dung6	
牵挂	hin1 gwa3	
掀起	hin1 héi2	
牵强	hin1 kêng5	
牵强附会	hin1 kêng5 fu6 wui6	
牵拉	hin1 lai1	
牵连	hin1 lin4	
牵累	hin1 lêu5	
牵牛	hin1 ngeo4	
牵牛花	hin1 ngeo4 fa1	
牵念	hin1 nim6	
牵缠	hin1 qin4	
牵手	hin1 seo2	
牵涉	hin1 xib3	
牵线	hin1 xin3	
牵线人	hin1 xin3 yen4	
牵一发而动全身	hin1 yed1 fad3 yi4 dung6 qun4 sen1	
牵引	hin1 yen5	
牵引机	hin1 yen5 géi1	
牵引力	hin1 yen5 lig6	
牵制	hin1 zei3	
牵掣	hin1 zei3	
显出	hin2 cêd1	
显得	hin2 deg1	
显赫	hin2 hag1	
显学	hin2 hog6	
显明	hin2 ming4	
显微镜	hin2 méi4 géng3	
显示	hin2 xi6	
显而易见	hin2 yi4 yi6 gin3	
显然	hin2 yin4	
显影	hin2 ying2	
显影纸	hin2 ying2 ji2	
显影液	hin2 ying2 yig6	
显影剂	hin2 ying2 zei1	
谴责	hin2 zag3	
显像	hin2 zêng6	
献宝	hin3 bou2	
献策	hin3 cag3	
献丑	hin3 ceo2	
献出	hin3 cêd1	
献花	hin3 fa1	
献计	hin3 gei3	
献金	hin3 gem1	
献技	hin3 géi6	
献拙	hin3 jud3	
献给	hin3 keb1	
献旗	hin3 kéi4	
献礼	hin3 lei5	
献媚	hin3 méi6	
献艺	hin3 ngei6	
献词	hin3 qi4	
献辞	hin3 qi4	
献世	hin3 sei3	败家，现世，现眼
献身	hin3 sen1	
献上	hin3 sêng6	
献诗	hin3 xi1	
献殷勤	hin3 yen1 ken4	
献言	hin3 yin4	
献酒	hin3 zeo2	
兴	hing1	流行，时兴
轻压	hing1 ad3	
兴办	hing1 ban6	
轻便	hing1 bin6	
轻兵	hing1 bing1	
兴兵	hing1 bing1	
轻薄	hing1 bog6	
轻重	hing1 cung5	
轻脆	hing1 cêu3	
兄弟	hing1 dei6	
轻敌	hing1 dig6	
轻度	hing1 dou6	
兴奋	hing1 fen5	
轻放	hing1 fong3	
轻风	hing1 fung1	
兴革	hing1 gag3	
轻金属	hing1 gem1 sug6	
兴建	hing1 gin3	
轻功	hing1 gung1	
兴工	hing1 gung1	
轻工	hing1 gung1	
轻工业	hing1 gung1 yib6	
轻机枪	hing1 géi1 cêng1	
轻举妄动	hing1 gêu2 mong5 dung6	
轻巧	hing1 hao2	
轻巧方便	hing1 hao2 fong1 bin6	
轻轻	hing1 hing1	
卿卿我我	hing1 hing1 ngo5 ngo5	
轻轻松松	hing1 hing1 sung1 sung1	
兴起	hing1 héi2	
氢气	hing1 héi3	
馨香	hing1 hêng1	
轻捷	hing1 jid6	
轻骑	hing1 ké4	
轻骑兵	hing1 ké4 bing1	
兴隆	hing1 lung4	
轻慢	hing1 man6	
轻蔑	hing1 mid6	
轻描淡写	hing1 miu4 dam6 sé2	
轻妙	hing1 miu6	
兴亡	hing1 mong4	
轻武器	hing1 mou5 héi3	
轻微	hing1 méi4	
轻飘	hing1 piu1	
轻心	hing1 sem1	
轻生	hing1 seng1	
兴修	hing1 seo1	
轻松愉快	hing1 sung1 yu4 fai3	
轻信	hing1 sên3	
轻伤	hing1 sêng1	
兴衰	hing1 sêu1	
兴旺	hing1 wong6	
轻视	hing1 xi6	
轻声	hing1 xing1	
兴盛	hing1 xing6	
轻音乐	hing1 yem1 ngog6	
轻易	hing1 yi6	
轻型	hing1 ying4	
轻如羽毛	hing1 yu4 yu5 mou4	
轻装	hing1 zong1	
焮	hing3	热，烫
焮	hing3	生气，发怒
焮	hing3	热闹
罄笔难书	hing3 bed1 nan4 xu1	
焮亲	hing3 cen1	烫伤
兴冲冲	hing3 cung1 cung1	
兴趣	hing3 cêu3	
兴趣盎然	hing3 cêu3 ngong3 yin4	
庆典	hing3 din2	
焮干	hing3 gon1	烤干，烘干
兴高采烈	hing3 gou1 coi2 lid6	
庆功	hing3 gung1	
庆功会	hing3 gung1 wui6	
庆功宴	hing3 gung1 yin3	
焮烚烚	hing3 heb6 heb6	热辣辣，热烘烘
庆贺	hing3 ho6	
焮起嚟	hing3 héi2 léi4	来劲，劲头来，热乎
兴致	hing3 ji3	
兴致勃勃	hing3 ji3 bud6 bud6	
兴味	hing3 méi6	
兴味无穷	hing3 méi6 mou4 kung4	
兴味索然	hing3 méi6 sag3 yin4	
庆生	hing3 seng1	
庆生会	hing3 seng1 wui6	
焮热	hing3 yid6	烤热
庆祝	hing3 zug1	
罄竹难书	hing3 zug1 nan4 xu1	
胫骨	hing5 gwed1	
浇花	hiu1 fa1	
侥幸	hiu1 heng6	
侥幸获胜	hiu1 heng6 wog6 xing3	
骁悍	hiu1 hon6	
骁雄	hiu1 hung4	
浇水	hiu1 sêu2	
骁勇	hiu1 yung5	
骁勇善战	hiu1 yung5 xin6 jin3	
嚣张	hiu1 zêng1	
骁将	hiu1 zêng3	
晓	hiu2	懂，会
晓得	hiu2 deg1	
晓以大义	hiu2 yi5 dai6 yi6	
晓谕	hiu2 yu6	
窍门	hiu3 mun4	
苛刻	ho1 heg1	
呵呵	ho1 ho1	
呵气	ho1 héi3	
诃子	ho1 ji2	
呵护	ho1 wu6	
河	ho2	沙河粉
可怖	ho2 bou3	
可悲	ho2 béi1	
可取	ho2 cêu2	
可大可小	ho2 dai6 ho2 xiu3	
可多可少	ho2 do1 ho2 xiu2	
可否	ho2 feo2	
可耕地	ho2 gang1 déi6	
可歌可泣	ho2 go1 ho2 yeb1	
可观	ho2 gun1	
可供	ho2 gung1	
可供参考	ho2 gung1 cam1 hao2	
可贵	ho2 gwei3	
可恨	ho2 hen6	
可可	ho2 ho2	
可可豆	ho2 ho2 deo6	
可可粉	ho2 ho2 fen2	
可可树	ho2 ho2 xu6	
可喜可贺	ho2 héi2 ho2 ho6	
可圈可点	ho2 hün1 ho2 dim2	
可卡因	ho2 ka1 yen1	
可兰经	ho2 lan4 ging1	
可怜	ho2 lin4	
可怜虫	ho2 lin4 cung4	
可唔可以	ho2 m4 ho2 yi5	可不可以
可望而不可及	ho2 mong6 yi4 bed1 ho2 keb6	
可能	ho2 neng4	
可能性	ho2 neng4 xing3	
可爱	ho2 oi3	
可怕	ho2 pa3	
可佩	ho2 pui3	
可耻	ho2 qi2	
可塑	ho2 sou3	
可塑性	ho2 sou3 xing3	
可信	ho2 sên3	
可信度	ho2 sên3 dou6	
可谓	ho2 wei6	
可恶	ho2 wu3	
可惜	ho2 xig1	
可以	ho2 yi5	
可遇而不可求	ho2 yu6 yi4 bed1 ho2 keo4	
荷包	ho4 bao1	钱包
荷包	ho4 bao1	
荷包蛋	ho4 bao1 dan6	
荷包倒吊	ho4 bao1 dou3 diu3	挥霍钱财，乱花钱，挥霍
荷包糠	ho4 bao1 hong2	钱少，身边没有现钱
荷包糠糠哋	ho4 bao1 hong2 hong2 déi2	身边没有现钱
荷包乱揈	ho4 bao1 lün2 fing6	挥霍钱财，花钱无度
荷包友	ho4 bao1 yeo2	扒手，偷钱包的小偷
荷包仔	ho4 bao1 zei2	扒手，偷钱包的小偷
何必	ho4 bid1	
何必当初	ho4 bid1 dong1 co1	
何必如此	ho4 bid1 yu4 qi2	
河坣	ho4 bog3	河堤
河畔	ho4 bun6	
河涌	ho4 cung1	小河，河沟，河汊子
何德何能	ho4 deg1 ho4 neng4	
何等	ho4 deng2	
河东狮吼	ho4 dung1 xi1 heo3	
荷花	ho4 fa1	
河粉	ho4 fen2	沙河粉
何况	ho4 fong3	
何妨	ho4 fong4	
何苦来哉	ho4 fu2 loi4 zoi1	
何去何从	ho4 hêu3 ho4 cung4	
何止	ho4 ji2	
何至于此	ho4 ji3 yu1 qi2	
何奇不有	ho4 kéi4 bed1 yeo5	
荷兰豆	ho4 lan1 deo2	豌豆
荷兰水	ho4 lan1 sêu2	汽水
荷兰薯	ho4 lan1 xu4	马铃薯
河流	ho4 leo4	
何乐而不为	ho4 log6 yi4 bed1 wei4	
河马	ho4 ma5	
何难之有	ho4 nan4 ji1 yeo5	
何处	ho4 qu3	
何尝	ho4 sêng4	
何须	ho4 sêu1	
河水	ho4 sêu2	
河水不犯井水	ho4 sêu2 bed1 fan6 jing2 sêu2	
河堤	ho4 tei4	
荷塘	ho4 tong4	
河豚	ho4 tün4	
何为	ho4 wei4	
何谓	ho4 wei6	
何时何地	ho4 xi4 ho4 déi6	
何事	ho4 xi6	
何人	ho4 yen4	
何以	ho4 yi5	
何以自处	ho4 yi5 ji6 qu5	
荷尔蒙	ho4 yi5 mung4	
荷叶	ho4 yib6	
何足挂齿	ho4 zug1 gwa3 qi2	
何者	ho4 zé2	
荷锄	ho6 co4	
荷重	ho6 cung5	
荷枪实弹	ho6 cêng1 sed6 dan2	
贺咭	ho6 ked1	贺卡
荷里活	ho6 léi5 wud6	好莱坞
贺年咭	ho6 nin4 ked1	贺年卡
贺岁	ho6 sêu3	
荷载	ho6 zoi3	
喝茶	hod3 ca4	
渴望	hod3 mong6	
喝斥	hod3 qig1	
渴市	hod3 xi5	商品紧俏，供不应求，缺货
褐色	hod3 xig1	
喝醉	hod3 zêu3	
学	hog6	像，模仿，效仿
学报	hog6 bou3	
学弟	hog6 dei6	
学费	hog6 fei3	
学分	hog6 fen6	
学科	hog6 fo1	
学府	hog6 fu2	
学非所用	hog6 féi1 so2 yung6	
学界	hog6 gai3	
学校	hog6 hao6	
学校同学	hog6 hao6 tung4 hog6	
学校成绩	hog6 hao6 xing4 jig1	
学系	hog6 hei6	
学海无涯	hog6 hoi2 mou4 ngai4	
学好	hog6 hou2	
学子	hog6 ji2	
学期	hog6 kéi4	
学区	hog6 kêu1	
鹤立鸡群	hog6 lab6 gei1 kwen4	
学历	hog6 lig6	
学龄	hog6 ling4	
学龄前	hog6 ling4 qin4	
学龄儿童	hog6 ling4 yi4 tung4	
学问	hog6 men6	
学名	hog6 ming4	
学无止境	hog6 mou4 ji2 ging2	
学务处	hog6 mou6 qu3	
学妹	hog6 mui6	
学门	hog6 mun4	
学艺	hog6 ngei6	
学年	hog6 nin4	
学派	hog6 pai3	
学似	hog6 qi5	像，模仿，效仿
学前	hog6 qin4	
学前教育	hog6 qin4 gao3 yug6	
学生	hog6 sang1	
学生哥	hog6 sang1 go1	年轻学生
学生证	hog6 sang1 jing3	
学生手册	hog6 sang1 seo2 cag3	
学生运动	hog6 sang1 wen6 dung6	
学生会	hog6 sang1 wui6	
学舍	hog6 sé3	
学社	hog6 sé5	
学术	hog6 sêd6	
学术界	hog6 sêd6 gai3	
学术界人士	hog6 sêd6 gai3 yen4 xi6	
学术研究	hog6 sêd6 yin4 geo3	
学堂	hog6 tong2	学校
学堂	hog6 tong4	
学徒	hog6 tou4	
学徒工	hog6 tou4 gung1	
学徒制	hog6 tou4 zei3	
学童	hog6 tung4	
学坏	hog6 wai6	
学位	hog6 wei2	学额
学位	hog6 wei6	
学运	hog6 wen6	
学运领袖	hog6 wen6 ling5 zeo6	
学会	hog6 wui6	
学士	hog6 xi6	
学士学位	hog6 xi6 hog6 wei6	
学成归国	hog6 xing4 gwei1 gwog3	
学说	hog6 xud3	
学人	hog6 yen4	
学友	hog6 yeo5	
学医	hog6 yi1	
学而不思	hog6 yi4 bed1 xi1	
学而优则仕	hog6 yi4 yeo1 zeg1 xi6	
学以致用	hog6 yi5 ji3 yung6	
学业	hog6 yib6	
学然后知不足	hog6 yin4 heo6 ji1 bed1 zug1	
学如逆水行舟	hog6 yu4 yig6 sêu2 heng4 zeo1	
学院	hog6 yun2	
学员	hog6 yun4	
学园	hog6 yun4	
学嘢	hog6 yé5	学习
学习	hog6 zab6	
学习计划	hog6 zab6 gei3 wag6	
学姐	hog6 zé2	
学者	hog6 zé2	
学长	hog6 zêng2	
开班	hoi1 ban1	
开办	hoi1 ban6	
开便	hoi1 bin6	外面，外头，外边
开埠	hoi1 bou6	
开采	hoi1 coi2	
开赛	hoi1 coi3	
开创	hoi1 cong3	
开车	hoi1 cé1	
开出	hoi1 cêd1	
开春	hoi1 cên1	
开春大吉	hoi1 cên1 dai6 ged1	
开枪	hoi1 cêng1	
开窗	hoi1 cêng1	
开场	hoi1 cêng4	
开场白	hoi1 cêng4 bag6	
开除	hoi1 cêu4	
开打	hoi1 da2	
开低	hoi1 dei1	
开低走高	hoi1 dei1 zeo2 gou1	
开灯	hoi1 deng1	
开裆裤	hoi1 dong2 fu3	
开刀	hoi1 dou1	
开刀手术	hoi1 dou1 seo2 sêd6	
开到通顶	hoi1 dou3 tung1 déng2	开到天亮
开道	hoi1 dou6	
开花	hoi1 fa1	
开花结果	hoi1 fa1 gid3 gwo2	
开花季	hoi1 fa1 gwei3	
开花期	hoi1 fa1 kéi4	
开化	hoi1 fa3	
开发	hoi1 fad3	
开发中国家	hoi1 fad3 zung1 gwog3 ga1	
开快车	hoi1 fai3 cé1	
开荤	hoi1 fen1	
开训	hoi1 fen3	
开火	hoi1 fo2	
开荒	hoi1 fong1	
开放	hoi1 fong3	
开放电路	hoi1 fong3 din6 lou6	
开放政策	hoi1 fong3 jing3 cag3	
开放式	hoi1 fong3 xig1	
开阔	hoi1 fud3	
开价	hoi1 ga3	
开戒	hoi1 gai3	
开港	hoi1 gong2	
开高	hoi1 gou1	
开高走低	hoi1 gou1 zeo2 dei1	
开工	hoi1 gung1	
开公数	hoi1 gung1 sou3	由公司开支，由公家开支
开关	hoi1 gwan1	
开国	hoi1 gwog3	
开机	hoi1 géi1	
开卷有益	hoi1 gün2 yeo5 yig1	
开垦	hoi1 hen2	
开垦地	hoi1 hen2 déi6	
开口	hoi1 heo2	
开窍	hoi1 hiu3	
开学	hoi1 hog6	
开学典礼	hoi1 hog6 din2 lei5	
开学日	hoi1 hog6 yed6	
开腔	hoi1 hong1	
开航	hoi1 hong4	
开支	hoi1 ji1	
开支票	hoi1 ji1 piu3	
开展	hoi1 jin2	
开战	hoi1 jin3	
开启	hoi1 kei2	
开球	hoi1 keo4	
开矿	hoi1 kwong3	
开例	hoi1 lei6	
开裂	hoi1 lid6	
开溜	hoi1 liu1	
开朗	hoi1 long5	
开浪裤	hoi1 long6 fu3	开裆裤
开路	hoi1 lou6	
开路先锋	hoi1 lou6 xin1 fung1	
开幕	hoi1 mog6	
开幕典礼	hoi1 mog6 din2 lei5	
开幕式	hoi1 mog6 xig1	
开门	hoi1 mun4	
开门见山	hoi1 mun4 gin3 san1	
开门受徒	hoi1 mun4 seo6 tou4	
开蒙	hoi1 mung4	
开O.T.	hoi1 ou1 ti1	加班，超时
开拍	hoi1 pag3	
