開放粵語詞典（國際音標版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［國際音標］	［國語解釋］
金融中心	kɐm˥ jʊŋ˨˩ tsʊŋ˥ sɐm˥	
今屆	kɐm˥ ka:i˧	本屆
金價	kɐm˥ ka:˧	
金瓜	kɐm˥ kwa:˥	
金橘	kɐm˥ kwɐt˥	
金光	kɐm˥ kwɔ:ŋ˥	
金光閃閃	kɐm˥ kwɔ:ŋ˥ si:m˧˥ si:m˧˥	
金腳帶	kɐm˥ kœ:k˧ ta:i˧	金環蛇
柑桔	kɐm˥ kɐt˥	
今個月	kɐm˥ kɔ:˧ jy:t˨	這個月
今個月尾	kɐm˥ kɔ:˧ jy:t˨ mei˩˧	這個月底
甘菊	kɐm˥ kʊk˥	
金箍棒	kɐm˥ kʰu:˥ pʰa:ŋ˩˧	
金礦	kɐm˥ kʰwɔ:ŋ˧	
甘藍	kɐm˥ la:m˨˩	
今晚黑	kɐm˥ ma:n˩˧ hɐk˥	今天晚上
今年	kɐm˥ ni:n˨˩	
金錶	kɐm˥ pi:u˥	
禁不起	kɐm˥ pɐt˥ hei˧˥	
禁不住	kɐm˥ pɐt˥ tsy:˨	
金不換	kɐm˥ pɐt˥ wu:n˨	
金牌	kɐm˥ pʰa:i˨˩	
金牌獎	kɐm˥ pʰa:i˨˩ tsœ:ŋ˧˥	
今鋪	kɐm˥ pʰou˥	這次
金舖	kɐm˥ pʰou˧˥	金店，金器店
金袍	kɐm˥ pʰou˨˩	
金蟬脫殼	kɐm˥ si:n˨˩ tʰy:t˧ hɔ:k˧	
金絲	kɐm˥ si:˥	
今時今日	kɐm˥ si:˨˩ kɐm˥ jɐt˨	現在，如今，這些日子，現在這個年頭
今時唔同往日	kɐm˥ si:˨˩ m̩˨˩ tʰʊŋ˨˩ wɔ:ŋ˩˧ jɐt˨	今非昔比
甘薯	kɐm˥ sy:˨˩	
金手指	kɐm˥ sɐu˧˥ tsi:˧˥	背地裡傷人
今生	kɐm˥ sɐŋ˥	
金色	kɐm˥ sɪk˥	
今昔	kɐm˥ sɪk˥	
金星	kɐm˥ sɪŋ˥	
甘醇	kɐm˥ sɵn˨˩	
泔水	kɐm˥ sɵy˧˥	
金屬	kɐm˥ sʊk˨	
今朝	kɐm˥ tsi:u˥	今天早上
今朝有酒今朝醉	kɐm˥ tsi:u˥ jɐu˩˧ tsɐu˧˥ kɐm˥ tsi:u˥ tsɵy˧	
甘之如飴	kɐm˥ tsi:˥ jy:˨˩ ji:˨˩	
金枝玉葉	kɐm˥ tsi:˥ jʊk˨ ji:p˨	
金字	kɐm˥ tsi:˨	
金字塔	kɐm˥ tsi:˨ tʰa:p˧	
金磚	kɐm˥ tsy:n˥	
金豬	kɐm˥ tsy:˥	烤豬
金獎	kɐm˥ tsœ:ŋ˧˥	
金匠	kɐm˥ tsœ:ŋ˨	
金像獎	kɐm˥ tsœ:ŋ˨ tsœ:ŋ˧˥	
金針	kɐm˥ tsɐm˥	黃花菜，金針菜
金針菜	kɐm˥ tsɐm˥ tsʰɔ:i˧	黃花菜，金針菜
甘蔗	kɐm˥ tsɛ:˧	
甘蔗渣	kɐm˥ tsɛ:˧ tsa:˥	
甘蔗汁	kɐm˥ tsɛ:˧ tsɐp˥	
甘蔗田	kɐm˥ tsɛ:˧ tʰi:n˨˩	
金錢	kɐm˥ tsʰi:n˨˩	
金朝	kɐm˥ tsʰi:u˨˩	
今次	kɐm˥ tsʰi:˧	這次
禁得起	kɐm˥ tɐk˥ hei˧˥	
禁得住	kɐm˥ tɐk˥ tsy:˨	
甘甜	kɐm˥ tʰi:m˨˩	
今天	kɐm˥ tʰi:n˥	
金援	kɐm˥ wu:n˨˩	
今勻	kɐm˥ wɐn˨˩	這次
金黃	kɐm˥ wɔ:ŋ˨˩	
金黃色	kɐm˥ wɔ:ŋ˨˩ sɪk˥	
金鈪	kɐm˥ ŋa:k˧	金鐲
金額	kɐm˥ ŋa:k˨	
金銀	kɐm˥ ŋɐn˨˩	
金銀紙	kɐm˥ ŋɐn˨˩ tsi:˧˥	紙錢
金牛	kɐm˥ ŋɐu˨˩	
金牛座	kɐm˥ ŋɐu˨˩ tsɔ:˨	
金甌	kɐm˥ ɐu˥	
咁	kɐm˧	這麼，那麼
禁煙	kɐm˧ ji:n˥	
噤若寒蟬	kɐm˧ jœ:k˨ hɔ:n˨˩ si:n˨˩	
禁慾	kɐm˧ jʊk˨	
禁慾主義	kɐm˧ jʊk˨ tsy:˧˥ ji:˨	
禁用	kɐm˧ jʊŋ˨	
禁忌	kɐm˧ kei˨	
咁高咁大	kɐm˧ kou˥ kɐm˧ ta:i˨	差不多
咁鬼死…	kɐm˧ kwɐi˧˥ sei˧˥	那麼…
禁軍	kɐm˧ kwɐn˥	
禁果	kɐm˧ kwɔ:˧˥	
咁嘅嘢	kɐm˧ kɛ:˧ jɛ:˩˧	這種事，這種東西
贛劇	kɐm˧ kʰɛ:k˨	
禁區	kɐm˧ kʰɵy˥	
禁臠	kɐm˧ ly:n˧˥	
禁例	kɐm˧ lɐi˨	
禁令	kɐm˧ lɪŋ˨	
咁盟塞	kɐm˧ mɐŋ˨˩ sɐk˥	不開竅，不明事理，信息閉塞
禁閉	kɐm˧ pɐi˧	
禁閉室	kɐm˧ pɐi˧ sɐt˥	
禁書	kɐm˧ sy:˥	
咁上下	kɐm˧ sœ:ŋ˧ ha:˧˥	差不多
禁食	kɐm˧ sɪk˨	
淦水	kɐm˧ sɵy˧˥	
禁地	kɐm˧ tei˨	
禁賭	kɐm˧ tou˧˥	
咁盞	kɐm˧ tsa:n˧˥	有這等好事
禁止	kɐm˧ tsi:˧˥	
禁止停車	kɐm˧ tsi:˧˥ tʰɪŋ˨˩ tsʰɛ:˥	
禁止通行	kɐm˧ tsi:˧˥ tʰʊŋ˥ hɐŋ˨˩	
咁做	kɐm˧ tsou˨	這麼做
禁絕	kɐm˧ tsy:t˨	
咁滯	kɐm˧ tsɐi˨	快要，即將，差不多
禁酒	kɐm˧ tsɐu˧˥	
禁酒令	kɐm˧ tsɐu˧˥ lɪŋ˨	
咁遲先嚟	kɐm˧ tsʰi:˨˩ si:n˥ lei˨˩	這麼晚才來
咁串	kɐm˧ tsʰy:n˧	趾高氣揚，驕傲自大、自命不凡的樣子
咁多年	kɐm˧ tɔ:˥ ni:n˨˩	這麼多年，那麼多年
咁多位	kɐm˧ tɔ:˥ wɐi˨	各位，諸位
禁條	kɐm˧ tʰi:u˨˩	
禁衛	kɐm˧ wɐi˨	
禁衛軍	kɐm˧ wɐi˨ kwɐn˥	
禁運	kɐm˧ wɐn˨	
禁運令	kɐm˧ wɐn˨ lɪŋ˨	
咁啱	kɐm˧ ŋa:m˥	那麼巧
咁啱嘅	kɐm˧ ŋa:m˥ kɛ:˧	怎麼這麼湊巧，怎麼會這麼巧
咁晏	kɐm˧ ŋa:n˧	這麼晚
…噉	kɐm˧˥	…的樣子
噉	kɐm˧˥	那麼，這麼，那樣，這樣
感化	kɐm˧˥ fa:˧	
感化院	kɐm˧˥ fa:˧ jy:n˨	
感荷	kɐm˧˥ hɔ:˨	
感興趣	kɐm˧˥ hɪŋ˧ tsʰɵy˧	
感染	kɐm˧˥ ji:m˩˧	
感染力	kɐm˧˥ ji:m˩˧ lɪk˨	
噉樣	kɐm˧˥ jœ:ŋ˧˥	這樣，那樣，這麼樣，這麼著
感恩荷德	kɐm˧˥ jɐn˥ hɔ:˨ tɐk˥	
感恩節	kɐm˧˥ jɐn˥ tsi:t˧	
感人	kɐm˧˥ jɐn˨˩	
感人肺腑	kɐm˧˥ jɐn˨˩ fɐi˧ fu:˧˥	
噉又係	kɐm˧˥ jɐu˨ hɐi˨	說的也是，可也是
噉又唔係	kɐm˧˥ jɐu˨ m̩˨˩ hɐi˨	那倒不是
噉又唔係噃	kɐm˧˥ jɐu˨ m̩˨˩ hɐi˨ pɔ:˧	那倒不是的
噉又唔同	kɐm˧˥ jɐu˨ m̩˨˩ tʰʊŋ˨˩	那就不同
噉又點	kɐm˧˥ jɐu˨ ti:m˧˥	那又怎樣？，這麼說來，打算怎麼樣
噉又點呀？	kɐm˧˥ jɐu˨ ti:m˧˥ a:˧	那又怎樣？
噉又得	kɐm˧˥ jɐu˨ tɐk˥	怎麼可以這樣，居然可以這樣
感應	kɐm˧˥ jɪŋ˧	
…噉解	kɐm˧˥ ka:i˧˥	這就是為什麼…，這樣來理解
感官	kɐm˧˥ ku:n˥	
感光	kɐm˧˥ kwɔ:ŋ˥	
感覺	kɐm˧˥ kɔ:k˧	
感激	kɐm˧˥ kɪk˥	
感激萬分	kɐm˧˥ kɪk˥ ma:n˨ fɐn˥	
感激不盡	kɐm˧˥ kɪk˥ pɐt˥ tsɵn˨	
感慨	kɐm˧˥ kʰɔ:i˧	
感慨萬千	kɐm˧˥ kʰɔ:i˧ ma:n˨ tsʰi:n˥	
橄欖	kɐm˧˥ la:m˩˧	
感冒	kɐm˧˥ mou˨	
感冒藥	kɐm˧˥ mou˨ jœ:k˨	
敢問	kɐm˧˥ mɐn˨	
噉唔係	kɐm˧˥ m̩˨˩ hɐi˨	可不是嗎
敢怒而不敢言	kɐm˧˥ nou˨ ji:˨˩ pɐt˥ kɐm˧˥ ji:n˨˩	
敢怒不敢言	kɐm˧˥ nou˨ pɐt˥ kɐm˧˥ ji:n˨˩	
錦標賽	kɐm˧˥ pi:u˥ tsʰɔ:i˧	
敢死	kɐm˧˥ sei˧˥	
敢死隊	kɐm˧˥ sei˧˥ tɵy˨	
感傷	kɐm˧˥ sœ:ŋ˥	
感想	kɐm˧˥ sœ:ŋ˧˥	
感受	kɐm˧˥ sɐu˨	
感性	kɐm˧˥ sɪŋ˧	
噉都好	kɐm˧˥ tou˥ hou˧˥	這樣子也好
噉都唔得	kɐm˧˥ tou˥ m̩˨˩ tɐk˥	這樣還不行嗎，這樣幹也不行嗎
噉都唔得咩	kɐm˧˥ tou˥ m̩˨˩ tɐk˥ mɛ:˥	難道這樣還不行嗎，難道這樣都不行嗎
噉都得	kɐm˧˥ tou˥ tɐk˥	怎麼可以這樣，居然可以這樣，這樣都行？
噉都得嘅？	kɐm˧˥ tou˥ tɐk˥ kɛ:˧	這還行？
感到	kɐm˧˥ tou˧˥	
感召	kɐm˧˥ tsi:u˨	
感召力	kɐm˧˥ tsi:u˨ lɪk˨	
噉就弊	kɐm˧˥ tsɐu˨ pɐi˨	這樣就糟糕了，這樣做就糟糕了
噉就啱	kɐm˧˥ tsɐu˨ ŋa:m˥	這樣就對了，那就對了，這樣做就對了
敢作敢當	kɐm˧˥ tsɔ:k˧ kɐm˧˥ tɔ:ŋ˥	
敢作敢為	kɐm˧˥ tsɔ:k˧ kɐm˧˥ wɐi˨˩	
感謝	kɐm˧˥ tsɛ:˨	
噉仲得掂	kɐm˧˥ tsʊŋ˨ tɐk˥ ti:m˨	這還了得
感情	kɐm˧˥ tsʰɪŋ˨˩	
感情用事	kɐm˧˥ tsʰɪŋ˨˩ jʊŋ˨ si:˨	
感觸	kɐm˧˥ tsʰʊk˥	
敢當	kɐm˧˥ tɔ:ŋ˥	
感動	kɐm˧˥ tʊŋ˨	
感歎	kɐm˧˥ tʰa:n˧	
感歎詞	kɐm˧˥ tʰa:n˧ tsʰi:˨˩	
…噉頭	kɐm˧˥ tʰɐu˧˥	像…似的，…的樣子
感同身受	kɐm˧˥ tʰʊŋ˨˩ sɐn˥ sɐu˨	
感悟	kɐm˧˥ ŋ˨	
撳	kɐm˨	按
撳機	kɐm˨ kei˥	提款
撳門鐘	kɐm˨ mu:n˨˩ tsʊŋ˥	按門鈴
撳掣	kɐm˨ tsɐi˧	按電鈕，按鈕
撳鐘	kɐm˨ tsʊŋ˥	按門鈴
撳錢	kɐm˨ tsʰi:n˧˥	提款
撳釘	kɐm˨ tɛ:ŋ˥	圖釘，摁釘
根莖	kɐn˥ hɐŋ˥	
筋肉	kɐn˥ jʊk˨	
巾幗	kɐn˥ kwɔ:k˧	
斤斤計較	kɐn˥ kɐn˥ kɐi˧ ka:u˧	
根據	kɐn˥ kɵy˧	
跟尾狗	kɐn˥ mei˩˧ kɐu˧˥	跟屁蟲
根本	kɐn˥ pu:n˧˥	
根深柢固	kɐn˥ sɐm˥ tɐi˧˥ ku:˧	
跟手	kɐn˥ sɐu˧˥	順手，跟著，緊接著，接著
跟住	kɐn˥ tsy:˨	接著，跟著，緊跟著
跟住落嚟	kɐn˥ tsy:˨ lɔ:k˨ lei˨˩	接下來
跟進	kɐn˥ tsɵn˧	
跟隨	kɐn˥ tsʰɵy˨˩	
根柢	kɐn˥ tɐi˧˥	
筋斗	kɐn˥ tɐu˧˥	
…緊	kɐn˧˥	…著，正在…
謹防	kɐn˧˥ fɔ:ŋ˨˩	
謹防假冒	kɐn˧˥ fɔ:ŋ˨˩ ka:˧˥ mou˨	
謹防扒手	kɐn˧˥ fɔ:ŋ˨˩ pʰa:˨˩ sɐu˧˥	
僅可	kɐn˧˥ hɔ:˧˥	
緊要	kɐn˧˥ ji:u˧	要緊，重要，嚴重
緊要事	kɐn˧˥ ji:u˧ si:˨	重要事情，要緊的事
僅以身免	kɐn˧˥ ji:˩˧ sɐn˥ mi:n˩˧	
僅有	kɐn˧˥ jɐu˩˧	
僅僅	kɐn˧˥ kɐn˧˥	
緊急	kɐn˧˥ kɐp˥	
僅供	kɐn˧˥ kʊŋ˥	
僅供參考	kɐn˧˥ kʊŋ˥ tsʰa:m˥ ha:u˧˥	
緊箍咒	kɐn˧˥ kʰu:˥ tsɐu˧	
緊密	kɐn˧˥ mɐt˨	
謹慎	kɐn˧˥ sɐn˨	
緊張	kɐn˧˥ tsœ:ŋ˥	
僅次於	kɐn˧˥ tsʰi:˧ jy:˥	
僅此	kɐn˧˥ tsʰi:˧˥	
僅存	kɐn˧˥ tsʰy:n˨˩	
近來	kɐn˨ lɔ:i˨˩	
近排	kɐn˨ pʰa:i˧˥	近來
近視	kɐn˨ si:˨	
近住	kɐn˨ tsy:˨	靠近，接近
近在咫尺	kɐn˨ tsɔ:i˨ tsi:˧˥ tsʰɛ:k˧	
近處	kɐn˨ tsʰy:˧	
近代	kɐn˨ tɔ:i˨	
急口令	kɐp˥ hɐu˧˥ lɪŋ˨	繞口令
蛤拐	kɐp˥ kwa:i˧˥	青蛙
急急腳	kɐp˥ kɐp˥ kœ:k˧	急急忙忙地，匆匆忙忙
急急腳去	kɐp˥ kɐp˥ kœ:k˧ hɵy˧	匆匆趕去
急救	kɐp˥ kɐu˧	
急救法	kɐp˥ kɐu˧ fa:t˧	
急救箱	kɐp˥ kɐu˧ sœ:ŋ˥	
急忙	kɐp˥ mɔ:ŋ˨˩	
蛤乸	kɐp˥ na:˧˥	田雞
急需	kɐp˥ sɵy˥	
急跌	kɐp˥ ti:t˧	
急到氹氹轉	kɐp˥ tou˧ tʰɐm˨˩ tʰɐm˧˥ tsy:n˧	急得團團轉
急症室	kɐp˥ tsɪŋ˧ sɐt˥	急診室
急速	kɐp˥ tsʰʊk˥	
鴿	kɐp˧	鴿子
蛤蚧	kɐp˧ ka:i˧˥	
蛤蜊	kɐp˧ lei˨˩	
䀹	kɐp˨	盯，盯著看
䀹住	kɐp˨ tsy:˨	監視，盯死
䀹住佢	kɐp˨ tsy:˨ kʰɵy˩˧	盯死他
拮	kɐt˥	扎，戳，刺
吉	kɐt˥	空，空的
桔	kɐt˥	桔子，柑桔
吉凶	kɐt˥ hʊŋ˥	
吉凶未卜	kɐt˥ hʊŋ˥ mei˨ pʊk˥	
吉人天相	kɐt˥ jɐn˨˩ tʰi:n˥ sœ:ŋ˧	
吉日	kɐt˥ jɐt˨	
拮肉	kɐt˥ jʊk˨	扎人
吉利	kɐt˥ lei˨	
訖了	kɐt˥ li:u˩˧	
吉普車	kɐt˥ pʰou˧˥ tsʰɛ:˥	
吉兆	kɐt˥ si:u˨	
吉身	kɐt˥ sɐn˥	空身
吉手	kɐt˥ sɐu˧˥	空手
吉星高照	kɐt˥ sɪŋ˥ kou˥ tsi:u˧	
吉祥	kɐt˥ tsʰœ:ŋ˨˩	
拮親	kɐt˥ tsʰɐn˥	扎破，戳破，戳傷
拮親手	kɐt˥ tsʰɐn˥ sɐu˧˥	扎破了手
吉車	kɐt˥ tsʰɛ:˥	空車
拮出血	kɐt˥ tsʰɵt˥ hy:t˧	刺到出血
吉屋	kɐt˥ ŋʊk˥	空房子
吉屋招租	kɐt˥ ŋʊk˥ tsi:u˥ tsou˥	空房出租
趷	kɐt˨	瘸腿，跛行
趷起	kɐt˨ hei˧˥	翹起
趷起身	kɐt˨ hei˧˥ sɐn˥	欠起身
趷起手指公	kɐt˨ hei˧˥ sɐu˧˥ tsi:˧˥ kʊŋ˥	翹起大拇指
趷起條尾	kɐt˨ hei˧˥ tʰi:u˨˩ mei˩˧	翹起尾巴
吃口吃舌	kɐt˨ hɐu˧˥ kɐt˨ si:t˨	結結巴巴
趷腳	kɐt˨ kœ:k˧	瘸腿
趷路	kɐt˨ lou˨	滾蛋
趷跛跛	kɐt˨ pɐi˥ pɐi˥	單腳跳
疙瘩	kɐt˨ ta:p˧	
篝火	kɐu˥ fɔ:˧˥	
佝僂	kɐu˥ lɐu˨˩	
佝僂病	kɐu˥ lɐu˨˩ pɪŋ˨	
鳩佔鵲巢	kɐu˥ tsi:m˧ tsœ:k˧ tsʰa:u˨˩	
救翻	kɐu˧ fa:n˥	救回
救苦救難	kɐu˧ fu:˧˥ kɐu˧ na:n˨	
救火	kɐu˧ fɔ:˧˥	
救火員	kɐu˧ fɔ:˧˥ jy:n˨˩	
救火車	kɐu˧ fɔ:˧˥ tsʰɛ:˥	
救火隊	kɐu˧ fɔ:˧˥ tɵy˨	
救人如救火	kɐu˧ jɐn˨˩ jy:˨˩ kɐu˧ fɔ:˧˥	
救人一命	kɐu˧ jɐn˨˩ jɐt˥ mɪŋ˨	
夠有突	kɐu˧ jɐu˩˧ tɐt˨	有餘
救駕	kɐu˧ ka:˧	
救國	kɐu˧ kwɔ:k˧	
救國救民	kɐu˧ kwɔ:k˧ kɐu˧ mɐn˨˩	
夠薑	kɐu˧ kœ:ŋ˥	有種，老辣，有膽量，有骨氣
救急	kɐu˧ kɐp˥	
究竟	kɐu˧ kɪŋ˧˥	到底，究竟
夠quali	kɐu˧ kʰɔ:˥ li:˧˥	夠格，有資格
救命	kɐu˧ mɛ:ŋ˨	
救命恩人	kɐu˧ mɪŋ˨ jɐn˥ jɐn˨˩	
詬病	kɐu˧ pɛ:ŋ˨	
救兵	kɐu˧ pɪŋ˥	
夠時候咯	kɐu˧ si:˨˩ hɐu˨ lɔ:k˧	時間到了，到點了
夠數	kɐu˧ sou˧	夠，齊
救世	kɐu˧ sɐi˧	
救世軍	kɐu˧ sɐi˧ kwɐn˥	
救世主	kɐu˧ sɐi˧ tsy:˧˥	
救生	kɐu˧ sɐŋ˥	
救生圈	kɐu˧ sɐŋ˥ hy:n˥	
救生衣	kɐu˧ sɐŋ˥ ji:˥	
救生艇	kɐu˧ sɐŋ˥ tʰɪŋ˩˧	
救星	kɐu˧ sɪŋ˥	
救贖	kɐu˧ sʊk˨	
救治	kɐu˧ tsi:˨	
救主	kɐu˧ tsy:˧˥	
救濟	kɐu˧ tsɐi˧	
救走	kɐu˧ tsɐu˧˥	
救災	kɐu˧ tsɔ:i˥	
夠咗有突	kɐu˧ tsɔ:˧˥ jɐu˩˧ tɐt˨	夠了有餘
救助	kɐu˧ tsɔ:˨	
夠鐘數	kɐu˧ tsʊŋ˥ sou˧	到時間了
夠嗆	kɐu˧ tsʰœ:ŋ˥	
救出	kɐu˧ tsʰɵt˥	
救援	kɐu˧ wu:n˨˩	
救援人員	kɐu˧ wu:n˨˩ jɐn˨˩ jy:n˨˩	
救援軍	kɐu˧ wu:n˨˩ kwɐn˥	
救活	kɐu˧ wu:t˨	
救護車	kɐu˧ wu:˨ tsʰɛ:˥	
夠運	kɐu˧ wɐn˨	走運
媾和	kɐu˧ wɔ:˨˩	
狗吠	kɐu˧˥ fɐi˨	
糾紛	kɐu˧˥ fɐn˥	
狗血淋頭	kɐu˧˥ hy:t˧ lɐm˨˩ tʰɐu˨˩	狗血噴頭
狗血噴頭	kɐu˧˥ hy:t˧ pʰɐn˧ tʰɐu˨˩	
苟合	kɐu˧˥ hɐp˨	
狗熊	kɐu˧˥ hʊŋ˨˩	
久而久之	kɐu˧˥ ji:˨˩ kɐu˧˥ tsi:˥	
九月	kɐu˧˥ jy:t˨	
九月份	kɐu˧˥ jy:t˨ fɐn˨	
久仰	kɐu˧˥ jœ:ŋ˩˧	
久仰大名	kɐu˧˥ jœ:ŋ˩˧ ta:i˨ mɪŋ˨˩	
狗肉	kɐu˧˥ jʊk˨	
狗肉湯	kɐu˧˥ jʊk˨ tʰɔ:ŋ˥	
枸杞	kɐu˧˥ kei˧˥	
糾結	kɐu˧˥ ki:t˧	
狗叫聲	kɐu˧˥ ki:u˧ sɪŋ˥	
狗腳	kɐu˧˥ kœ:k˧	
狗急跳牆	kɐu˧˥ kɐp˥ tʰi:u˧ tsʰœ:ŋ˨˩	
九九表	kɐu˧˥ kɐu˧˥ pi:u˧˥	
九九乘法	kɐu˧˥ kɐu˧˥ sɪŋ˨˩ fa:t˧	
九九乘法表	kɐu˧˥ kɐu˧˥ sɪŋ˨˩ fa:t˧ pi:u˧˥	
九九重陽	kɐu˧˥ kɐu˧˥ tsʰʊŋ˨˩ jœ:ŋ˨˩	
九九登高	kɐu˧˥ kɐu˧˥ tɐŋ˥ kou˥	
糾葛	kɐu˧˥ kɔ:t˧	
九個字	kɐu˧˥ kɔ:˧ tsi:˨	四十五分鍾
九宮	kɐu˧˥ kʊŋ˥	
狗公	kɐu˧˥ kʊŋ˥	公狗
九宮格	kɐu˧˥ kʊŋ˥ ka:k˧	
九曲十三彎	kɐu˧˥ kʰʊk˥ sɐp˨ sa:m˥ wa:n˥	彎彎曲曲
狗命	kɐu˧˥ mɪŋ˨	
九命怪貓	kɐu˧˥ mɪŋ˨ kwa:i˧ ma:u˥	
九唔搭八	kɐu˧˥ m̩˨˩ ta:p˧ pa:t˧	牛頭不對馬嘴
狗乸	kɐu˧˥ na:˧˥	母狗
狗年	kɐu˧˥ ni:n˨˩	
九年級	kɐu˧˥ ni:n˨˩ kʰɐp˥	
久別	kɐu˧˥ pi:t˨	
久別重逢	kɐu˧˥ pi:t˨ tsʰʊŋ˨˩ fʊŋ˨˩	
九品	kɐu˧˥ pɐn˧˥	
狗屁	kɐu˧˥ pʰei˧	
狗屁不通	kɐu˧˥ pʰei˧ pɐt˥ tʰʊŋ˥	
九死一生	kɐu˧˥ sei˧˥ jɐt˥ sɐŋ˥	
九霄雲外	kɐu˧˥ si:u˥ wɐn˨˩ ŋɔ:i˨	
狗屎	kɐu˧˥ si:˧˥	
九十	kɐu˧˥ sɐp˨	
狗蝨	kɐu˧˥ sɐt˥	跳蚤
九點	kɐu˧˥ ti:m˧˥	
九點鐘	kɐu˧˥ ti:m˧˥ tsʊŋ˥	
糾集	kɐu˧˥ tsa:p˨	
狗仔	kɐu˧˥ tsɐi˧˥	小狗
狗仔隊	kɐu˧˥ tsɐi˧˥ tɵy˨	
糾正	kɐu˧˥ tsɪŋ˧	
狗嘴吐不出象牙	kɐu˧˥ tsɵy˧˥ tʰou˧ pɐt˥ tsʰɵt˥ tsœ:ŋ˨ ŋa:˨˩	
糾察	kɐu˧˥ tsʰa:t˧	
糾察人員	kɐu˧˥ tsʰa:t˧ jɐn˨˩ jy:n˨˩	
糾察隊	kɐu˧˥ tsʰa:t˧ tɵy˨	
糾纏	kɐu˧˥ tsʰi:n˨˩	
糾纏不清	kɐu˧˥ tsʰi:n˨˩ pɐt˥ tsʰɪŋ˥	
九泉	kɐu˧˥ tsʰy:n˨˩	
九泉之下	kɐu˧˥ tsʰy:n˨˩ tsi:˥ ha:˨	
韭菜	kɐu˧˥ tsʰɔ:i˧	
苟且	kɐu˧˥ tsʰɛ:˧˥	
狗竇	kɐu˧˥ tɐu˧	狗窩
苟同	kɐu˧˥ tʰʊŋ˨˩	
苟活	kɐu˧˥ wu:t˨	
久違	kɐu˧˥ wɐi˨˩	
狗窩	kɐu˧˥ wɔ:˥	
狗咬狗	kɐu˧˥ ŋa:u˩˧ kɐu˧˥	
狗咬呂洞賓	kɐu˧˥ ŋa:u˩˧ lɵy˩˧ tʊŋ˨ pɐn˥	
狗牙	kɐu˧˥ ŋa:˧˥	鋸齒狀的
狗牙邊	kɐu˧˥ ŋa:˧˥ pi:n˥	鋸齒邊
九牛二虎之力	kɐu˧˥ ŋɐu˨˩ ji:˨ fu:˧˥ tsi:˥ lɪk˨	
九牛一毛	kɐu˧˥ ŋɐu˨˩ ji:˨ mou˨˩	
嚿	kɐu˨	塊
舊日	kɐu˨ jɐt˨	過去
舊曆	kɐu˨ lɪk˨	農曆
舊年	kɐu˨ ni:n˨˩	去年
舊時	kɐu˨ si:˨˩	從前，過去，以前
舊陣時	kɐu˨ tsɐn˨ si:˨˩	過去
舊俗	kɐu˨ tsʊk˨	
舊底	kɐu˨ tɐi˧˥	從前，以前，舊時，過去
更番	kɐŋ˥ fa:n˥	
更衣	kɐŋ˥ ji:˥	
更衣室	kɐŋ˥ ji:˥ sɐt˨	
更鼓	kɐŋ˥ ku:˧˥	
更改	kɐŋ˥ kɔ:i˧˥	
更深人靜	kɐŋ˥ sɐm˥ jɐn˨˩ tsɪŋ˨	
更新	kɐŋ˥ sɐn˥	
更新換代	kɐŋ˥ sɐn˥ wu:n˨ tɔ:i˧	
更生	kɐŋ˥ sɐŋ˥	
更迭	kɐŋ˥ ti:t˨	
更正	kɐŋ˥ tsɪŋ˧	
更正錯誤	kɐŋ˥ tsɪŋ˧ tsʰɔ:˧ ŋ˨	
羹匙	kɐŋ˥ tsʰi:˨˩	
更始	kɐŋ˥ tsʰi:˩˧	
更定	kɐŋ˥ tɪŋ˨	
更動	kɐŋ˥ tʊŋ˨	
更替	kɐŋ˥ tʰɐi˧	
更換	kɐŋ˥ wu:n˨	
更加	kɐŋ˧ ka:˥	
更多	kɐŋ˧ tɔ:˥	
梗	kɐŋ˧˥	當然，一定
梗係	kɐŋ˧˥ hɐi˨	當然
梗係啦	kɐŋ˧˥ hɐi˨ la:˥	當然是了
哽咽	kɐŋ˧˥ ji:t˧	
亙古	kɐŋ˧˥ ku:˧˥	
亘古以來	kɐŋ˧˥ ku:˧˥ ji:˩˧ lɔ:i˨˩	
該判何罪	kɔ:i˥ pʰu:n˧ hɔ:˨˩ tsɵy˨	
該煨	kɔ:i˥ wu:i˥	糟糕
蓋	kɔ:i˧	蓋子
改弦易轍	kɔ:i˧˥ ji:n˨˩ jɪk˨ tsʰi:t˧	
改用	kɔ:i˧˥ jʊŋ˨	
改過自新	kɔ:i˧˥ kwɔ:˧ tsi:˨ sɐn˥	
改良	kɔ:i˧˥ lœ:ŋ˨˩	
改良品種	kɔ:i˧˥ lœ:ŋ˨˩ pɐn˧˥ tsʊŋ˧˥	
改名	kɔ:i˧˥ mɛ:ŋ˧˥	起名，取名
改變	kɔ:i˧˥ pi:n˧	
改判	kɔ:i˧˥ pʰu:n˧	
改善	kɔ:i˧˥ si:n˨	
改轉	kɔ:i˧˥ tsy:n˧	變換，改換
改為	kɔ:i˧˥ wɐi˨˩	
閣	kɔ:k˧	閣樓
各花入各眼	kɔ:k˧ fa:˥ jɐp˨ kɔ:k˧ ŋa:n˩˧	情人眼裡出西施，見仁見智，蘿蔔青菜各有所愛
各方面	kɔ:k˧ fɔ:ŋ˥ mi:n˨	
