开放粤语词典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［国际音标］	［国语解释］
机率	kei˥ lɵt˨	
机密	kei˥ mɐt˨	
基女	kei˥ nɵy˩˧	女同性恋
基本	kei˥ pu:n˧˥	
基本上	kei˥ pu:n˧˥ sœ:ŋ˨	
饥不择食	kei˥ pɐt˥ tsa:k˨ sɪk˨	
机铺	kei˥ pʰou˧˥	游戏机店，电子游乐场，电子游戏厅
讥笑	kei˥ si:u˧	
机师	kei˥ si:˥	
奇数	kei˥ sou˧	
机室	kei˥ sɐt˥	游戏机店，电子游乐场，电子游戏厅
基地	kei˥ tei˨	
基调	kei˥ ti:u˨	
讥嘲	kei˥ tsa:u˥	
机场	kei˥ tsʰœ:ŋ˨˩	
饥肠辘辘	kei˥ tsʰœ:ŋ˨˩ lʊk˥ lʊk˥	
基础	kei˥ tsʰɔ:˧˥	
基督教	kei˥ tʊk˥ ka:u˧	
机会	kei˥ wu:i˨	
基围	kei˥ wɐi˨˩	堤坝
饥饿	kei˥ ŋɔ:˨	
饥饿感	kei˥ ŋɔ:˨ kɐm˧˥	
记起	kei˧ hei˧˥	想起
既然	kei˧ ji:n˨˩	
觊觎	kei˧ jy:˨˩	
记忆	kei˧ jɪk˥	
记忆力	kei˧ jɪk˥ lɪk˨	
记认	kei˧ jɪŋ˨	标记，记号
记挂	kei˧ kwa:˧	挂念，惦念，惦着
既来之则安之	kei˧ lɔ:i˨˩ tsi:˥ tsɐk˥ ɔ:n˥ tsi:˥	
记录片	kei˧ lʊk˨ pʰi:n˧˥	
纪念	kei˧ ni:m˨	
纪念日	kei˧ ni:m˨ jɐt˨	
纪念邮票	kei˧ ni:m˨ jɐu˨˩ pʰi:u˧	
纪念馆	kei˧ ni:m˨ ku:n˧˥	
纪念碑	kei˧ ni:m˨ pei˥	
纪念品	kei˧ ni:m˨ pɐn˧˥	
寄平信	kei˧ pʰɪŋ˨˩ sɵn˧	
寄生物	kei˧ sɐŋ˥ mɐt˨	
记载	kei˧ tsɔ:i˧	
记者	kei˧ tsɛ:˧˥	
记者会	kei˧ tsɛ:˧˥ wu:i˧˥	
记得	kei˧ tɐk˥	
记得起	kei˧ tɐk˥ hei˧˥	想得起
几	kei˧˥	蛮，挺
几廿年	kei˧˥ a:˨ ni:n˨˩	几十年
几快	kei˧˥ fa:i˧	蛮快，挺快
几分钟	kei˧˥ fɐn˥ tsʊŋ˥	
几好	kei˧˥ hou˧˥	挺好，蛮好，还好
几好吖嘛	kei˧˥ hou˧˥ a:˥ ma:˧	挺好的吧
几何学	kei˧˥ hɔ:˨˩ hɔ:k˨	
几远	kei˧˥ jy:n˩˧	多远
杞人忧天	kei˧˥ jɐn˨˩ jɐu˥ tʰi:n˥	
几过份	kei˧˥ kwɔ:˧ fɐn˨	蛮过份
几咁	kei˧˥ kɐm˧	多么
几个	kei˧˥ kɔ:˧	
几难	kei˧˥ la:n˨˩	好不容易
纪律	kei˧˥ lɵt˨	
几难先至	kei˧˥ na:n˨˩ si:n˥ tsi:˧	好不容易才
几耐	kei˧˥ nɔ:i˨	多久
几平	kei˧˥ pʰɛ:ŋ˧	蛮便宜，挺便宜
几时	kei˧˥ si:˨˩	什么时候
几岁	kei˧˥ sɵy˧	
几大就几大喇	kei˧˥ ta:i˧˥ tsɐu˨ kei˧˥ ta:i˧˥ la:˧	豁出去了！
几大	kei˧˥ ta:i˨	多大
几大都	kei˧˥ ta:i˨ tou˥	无论如何也
几大都要	kei˧˥ ta:i˨ tou˥ ji:u˧	无论如何也要
几点	kei˧˥ ti:m˧˥	
几点钟	kei˧˥ ti:m˧˥ tsʊŋ˥	
几钱	kei˧˥ tsʰi:n˧˥	多少钱
几次	kei˧˥ tsʰi:˧	
几衬你㖞	kei˧˥ tsʰɐn˧ nei˩˧ wɔ:˧	很适合你
几得人惊	kei˧˥ tɐk˥ jɐn˨˩ kɛ:ŋ˥	挺吓人的
几多	kei˧˥ tɔ:˥	多少
几多钱	kei˧˥ tɔ:˥ tsʰi:n˧˥	多少钱
技巧	kei˨ ha:u˧˥	
芰荷	kei˨ hɔ:˨˩	
芰荷映水	kei˨ hɔ:˨˩ jɪŋ˧˥ sɵy˧˥	
妓院	kei˨ jy:n˨	
忌廉	kei˨ li:m˥	奶油
忌廉饼干	kei˨ li:m˥ pɛ:ŋ˧˥ kɔ:n˥	奶油饼干
忌廉梳打	kei˨ li:m˥ sɔ:˥ ta:˧˥	奶油苏打，奶油苏打汽水
忌廉威化饼	kei˨ li:m˥ wɐi˥ fa:˧ pɛ:ŋ˧˥	奶油维夫饼干
技俩	kei˨ lœ:ŋ˩˧	
妓女	kei˨ nɵy˩˧	
技术	kei˨ sɵt˨	
忌讳	kei˨ wɐi˩˧	
兼而有之	ki:m˥ ji:˨˩ jɐu˩˧ tsi:˥	
兼任	ki:m˥ jɐm˨	
兼容	ki:m˥ jʊŋ˨˩	
兼夹	ki:m˥ ka:p˧	而且，并且，加上
兼管	ki:m˥ ku:n˧˥	
兼顾	ki:m˥ ku:˧	
鹣鲽情深	ki:m˥ ti:p˨ tsʰɪŋ˨˩ sɐm˥	
兼职	ki:m˥ tsɪk˥	
搛菜	ki:m˥ tsʰɔ:i˧	
兼队	ki:m˥ tɵy˧˥	插队，加塞儿
兼爱	ki:m˥ ɔ:i˧	
剑法	ki:m˧ fa:t˧	
剑客	ki:m˧ ha:k˧	
剑侠	ki:m˧ ha:p˨	
剑叶	ki:m˧ ji:p˨	
剑光	ki:m˧ kwɔ:ŋ˥	
剑兰	ki:m˧ la:n˨˩	
剑兰花	ki:m˧ la:n˨˩ fa:˥	
剑龙	ki:m˧ lʊŋ˨˩	
剑眉	ki:m˧ mei˨˩	
剑拔弩张	ki:m˧ pɐt˨ nou˩˧ tsœ:ŋ˥	
剑柄	ki:m˧ pɛ:ŋ˧	
剑术	ki:m˧ sɵt˨	
剑道	ki:m˧ tou˨	
剑鞘	ki:m˧ tsʰi:u˧	
检方	ki:m˧˥ fɔ:ŋ˥	
捡起	ki:m˧˥ hei˧˥	
检验	ki:m˧˥ ji:m˨	
检阅	ki:m˧˥ jy:t˨	
检疫	ki:m˧˥ jɪk˨	
检疫所	ki:m˧˥ jɪk˨ sɔ:˧˥	
检疫站	ki:m˧˥ jɪk˨ tsa:m˨	
检举	ki:m˧˥ kɵy˧˥	
检举人	ki:m˧˥ kɵy˧˥ jɐn˨˩	
捡便宜	ki:m˧˥ pʰi:n˨˩ ji:˨˩	
检索	ki:m˧˥ sa:k˧	
检视	ki:m˧˥ si:˨	
检修	ki:m˧˥ sɐu˥	
检点	ki:m˧˥ ti:m˧˥	
检字	ki:m˧˥ tsi:˨	
检字法	ki:m˧˥ tsi:˨ fa:t˧	
检察	ki:m˧˥ tsʰa:t˧	
检察官	ki:m˧˥ tsʰa:t˧ ku:n˥	
检查	ki:m˧˥ tsʰa:˨˩	
检定	ki:m˧˥ tɪŋ˨	
检讨	ki:m˧˥ tʰou˧˥	
检讨会	ki:m˧˥ tʰou˧˥ wu:i˨	
检胃镜	ki:m˧˥ wɐi˨ kɛ:ŋ˧	
俭约	ki:m˨ jœ:k˧	
勤俭	ki:m˨ kʰɐn˨˩	
勤俭朴实	ki:m˨ kʰɐn˨˩ pʰɔ:k˧ sɐt˨	
勤俭持家	ki:m˨ kʰɐn˨˩ tsʰi:˨˩ ka:˥	
俭朴	ki:m˨ pʰɔ:k˧	
俭省	ki:m˨ sa:ŋ˧˥	
坚韧	ki:n˥ jɐn˨	
肩胛	ki:n˥ ka:p˧	
坚决	ki:n˥ kʰy:t˧	
坚决否认	ki:n˥ kʰy:t˧ fɐu˧˥ jɪŋ˨	
坚守	ki:n˥ sɐu˧˥	
坚持	ki:n˥ tsʰi:˨˩	
坚称	ki:n˥ tsʰɪŋ˥	
坚定	ki:n˥ tɪŋ˨	
坚挺	ki:n˥ tʰɪŋ˩˧	
坚硬	ki:n˥ ŋa:ŋ˨	
见…	ki:n˧	跟…见面
见风使舵	ki:n˧ fʊŋ˥ si:˧˥ tʰɔ:˨˩	
见风转舵	ki:n˧ fʊŋ˥ tsy:n˧˥ tʰɔ:˨˩	
见效	ki:n˧ ha:u˨	
见红	ki:n˧ hʊŋ˨˩	流血，见血
见义勇为	ki:n˧ ji:˨ jʊŋ˩˧ wɐi˨˩	
见异思迁	ki:n˧ ji:˨ si:˥ tsʰi:n˥	
建议	ki:n˧ ji:˩˧	
见仁见智	ki:n˧ jɐn˨˩ ki:n˧ tsi:˧	
见解	ki:n˧ ka:i˧˥	
见机行事	ki:n˧ kei˥ hɐŋ˨˩ si:˨	
见怪不怪	ki:n˧ kwa:i˧ pɐt˥ kwa:i˧	
见鬼	ki:n˧ kwɐi˧˥	
见过鬼怕黑	ki:n˧ kwɔ:˧ kwɐi˧˥ pʰa:˧ hɐk˥	一朝被蛇咬，十年怕井绳
见过鬼都怕黑	ki:n˧ kwɔ:˧ kwɐi˧˥ tou˥ pʰa:˧ hɐk˥	一朝被蛇咬，十年怕井绳
见过鬼就怕黑	ki:n˧ kwɔ:˧ kwɐi˧˥ tsɐu˨ pʰa:˧ hɐk˥	一朝被蛇咬，十年怕井绳
见过世面	ki:n˧ kwɔ:˧ sɐi˧ mi:n˨	
见工	ki:n˧ kʊŋ˥	面试，工作面谈，工作面试
建立	ki:n˧ la:p˨	
见利忘义	ki:n˧ lei˨ mɔ:ŋ˨˩ ji:˨	
见连丸	ki:n˧ li:n˨˩ jy:n˧˥	奎宁丸
见谅	ki:n˧ lœ:ŋ˨	
见面	ki:n˧ mi:n˨	
见闻	ki:n˧ mɐn˨˩	
见唔到	ki:n˧ m̩˨˩ tou˧˥	见不着，看不到
见不着	ki:n˧ pɐt˥ tsœ:k˨	
见不得人	ki:n˧ pɐt˥ tɐk˥ jɐn˨˩	
见死不救	ki:n˧ sei˧˥ pɐt˥ kɐu˧	
见使	ki:n˧ sɐi˧˥	耐花
见识	ki:n˧ sɪk˥	
见食	ki:n˧ sɪk˨	耐吃
见到	ki:n˧ tou˧˥	看到，看见，见着，见到
见习	ki:n˧ tsa:p˨	
见习生	ki:n˧ tsa:p˨ sɐŋ˥	
见招	ki:n˧ tsi:u˥	
见招拆招	ki:n˧ tsi:u˥ tsʰa:k˧ tsi:u˥	
见周公	ki:n˧ tsɐu˥ kʊŋ˥	睡觉，入梦，睡着了
见状	ki:n˧ tsɔ:ŋ˨	
见证	ki:n˧ tsɪŋ˧	
见证人	ki:n˧ tsɪŋ˧ jɐn˨˩	
建筑	ki:n˧ tsʊk˥	
建筑物	ki:n˧ tsʊk˥ mɐt˨	
建筑师	ki:n˧ tsʊk˥ si:˥	
建设	ki:n˧ tsʰi:t˧	
建设性	ki:n˧ tsʰi:t˧ sɪŋ˧	
见多识广	ki:n˧ tɔ:˥ sɪk˥ kwɔ:ŋ˧˥	
见牙唔见眼	ki:n˧ ŋa:˨˩ m̩˨˩ ki:n˧ ŋa:n˩˧	笑眯了眼，笑容灿烂，见牙不见眼
健行	ki:n˨ ha:ŋ˨˩	
健康	ki:n˨ hɔ:ŋ˥	
健康检查	ki:n˨ hɔ:ŋ˥ ki:m˧˥ tsʰa:˨˩	
健儿	ki:n˨ ji:˨˩	
键入	ki:n˨ jɐp˨	
健健康康	ki:n˨ ki:n˨ hɔ:ŋ˥ hɔ:ŋ˥	
健美	ki:n˨ mei˩˧	
健美操	ki:n˨ mei˩˧ tsʰou˥	
健忘	ki:n˨ mɔ:ŋ˨˩	
健保	ki:n˨ pou˧˥	
健步	ki:n˨ pou˨	
健步如飞	ki:n˨ pou˨ jy:˨˩ fei˥	
键盘	ki:n˨ pʰu:n˨˩	
键盘乐器	ki:n˨ pʰu:n˨˩ ŋɔ:k˨ hei˧	
健身	ki:n˨ sɐn˥	
健身房	ki:n˨ sɐn˥ fɔ:ŋ˨˩	
健身操	ki:n˨ sɐn˥ tsʰou˥	
健身运动	ki:n˨ sɐn˥ wɐn˨ tʊŋ˨	
健将	ki:n˨ tsœ:ŋ˧	
健在	ki:n˨ tsɔ:i˨	
健壮	ki:n˨ tsɔ:ŋ˧	
健壮如牛	ki:n˨ tsɔ:ŋ˧ jy:˨˩ ŋɐu˨˩	
健全	ki:n˨ tsʰy:n˨˩	
健全性	ki:n˨ tsʰy:n˨˩ sɪŋ˧	
健谈	ki:n˨ tʰa:m˨˩	
喼	ki:p˥	箱子
喼帽	ki:p˥ mou˧˥	鸭舌帽
劫	ki:p˧	涩，味涩
劫	ki:p˧	抢
劫机	ki:p˧ kei˥	
劫机犯	ki:p˧ kei˥ fa:n˧˥	
劫持	ki:p˧ tsʰi:˨˩	
挟	ki:p˨	夹，挤
挟脚	ki:p˨ kœ:k˧	挤脚
挟亲	ki:p˨ tsʰɐn˥	夹住，夹到
结块	ki:t˧ fa:i˧	
结发	ki:t˧ fa:t˧	
结婚	ki:t˧ fɐn˥	
结婚仪式	ki:t˧ fɐn˥ ji:˨˩ sɪk˥	
结婚纪念日	ki:t˧ fɐn˥ kei˧˥ ni:m˨ jɐt˨	
结婚典礼	ki:t˧ fɐn˥ ti:n˧˥ lɐi˩˧	
结婚证书	ki:t˧ fɐn˥ tsɪŋ˧ sy:˥	
结伙	ki:t˧ fɔ:˧˥	
结伙抢劫	ki:t˧ fɔ:˧˥ tsʰœ:ŋ˧˥ ki:p˧	
结合	ki:t˧ hɐp˨	
结合律	ki:t˧ hɐp˨ lɵt˨	
结合能	ki:t˧ hɐp˨ nɐŋ˨˩	
结合点	ki:t˧ hɐp˨ ti:m˧˥	
结核	ki:t˧ hɐt˨	
结业	ki:t˧ ji:p˨	
结业式	ki:t˧ ji:p˨ sɪk˥	
结业典礼	ki:t˧ ji:p˨ ti:n˧˥ lɐi˩˧	
结业证书	ki:t˧ ji:p˨ tsɪŋ˧ sy:˥	
结义	ki:t˧ ji:˨	
结缘	ki:t˧ jy:n˨˩	
结余	ki:t˧ jy:˨˩	
结语	ki:t˧ jy:˩˧	
结交	ki:t˧ ka:u˥	
结结巴巴	ki:t˧ ki:t˧ pa:˥ pa:˥	
结果	ki:t˧ kwɔ:˧˥	
拮据	ki:t˧ kɵy˥	
结局	ki:t˧ kʊk˨	
结恭	ki:t˧ kʊŋ˥	便秘
结构	ki:t˧ kʰɐu˧	
结缡	ki:t˧ lei˨˩	
结论	ki:t˧ lɵn˨	
结尾	ki:t˧ mei˩˧	
结盟	ki:t˧ mɐŋ˨˩	
结膜	ki:t˧ mɔ:k˨	
结膜炎	ki:t˧ mɔ:k˨ ji:m˨˩	
结拜	ki:t˧ pa:i˧	
结拜兄弟	ki:t˧ pa:i˧ hɪŋ˥ tɐi˨	
结巴	ki:t˧ pa:˥	
结疤	ki:t˧ pa:˥	
结伴	ki:t˧ pu:n˨	
结伴同行	ki:t˧ pu:n˨ tʰʊŋ˨˩ hɐŋ˨˩	
结冰	ki:t˧ pɪŋ˥	
洁癖	ki:t˧ pʰɪk˥	
结算	ki:t˧ sy:n˧	
结霜	ki:t˧ sœ:ŋ˥	
结仇	ki:t˧ sɐu˨˩	
结石	ki:t˧ sɛ:k˨	
结社	ki:t˧ sɛ:˩˧	
结社自由	ki:t˧ sɛ:˩˧ tsi:˨ jɐu˨˩	
结识	ki:t˧ sɪk˥	
结绳	ki:t˧ sɪŋ˨˩	
结绳记事	ki:t˧ sɪŋ˨˩ kei˧ si:˨	
结集	ki:t˧ tsa:p˨	
结紮	ki:t˧ tsa:t˧	
结扎	ki:t˧ tsa:t˧	
结紮手术	ki:t˧ tsa:t˧ sɐu˧˥ sɵt˨	
结紮术	ki:t˧ tsa:t˧ sɵt˨	
结节	ki:t˧ tsi:t˧	
结帐	ki:t˧ tsœ:ŋ˧	
结咗婚	ki:t˧ tsɔ:˧˥ fɐn˥	结婚了，已婚
结晶	ki:t˧ tsɪŋ˥	
结晶体	ki:t˧ tsɪŋ˥ tʰɐi˧˥	
结存	ki:t˧ tsʰy:n˨˩	
结存额	ki:t˧ tsʰy:n˨˩ ŋa:k˨	
结肠	ki:t˧ tsʰœ:ŋ˨˩	
结肠炎	ki:t˧ tsʰœ:ŋ˨˩ ji:m˨˩	
结亲	ki:t˧ tsʰɐn˥	
结清	ki:t˧ tsʰɪŋ˥	
结秦晋之好	ki:t˧ tsʰɵn˨˩ tsɵn˧ tsi:˥ hou˧˥	
结束	ki:t˧ tsʰʊk˥	
结缔	ki:t˧ tɐi˧	
结缔组织	ki:t˧ tɐi˧ tsou˧˥ tsɪk˥	
结党	ki:t˧ tɔ:ŋ˧˥	
结党营私	ki:t˧ tɔ:ŋ˧˥ jɪŋ˨˩ si:˥	
结队	ki:t˧ tɵy˨	
结他	ki:t˧ tʰa:˥	吉他
结为	ki:t˧ wɐi˨˩	
结为夫妻	ki:t˧ wɐi˨˩ fu:˥ tsʰɐi˥	
结为一体	ki:t˧ wɐi˨˩ jɐt˥ tʰɐi˧˥	
结案	ki:t˧ ɔ:n˧	
杰	ki:t˨	稠
桀纣	ki:t˨ tsɐu˨	
杰作	ki:t˨ tsɔ:k˧	
杰粥	ki:t˨ tsʊk˥	稠粥
杰出	ki:t˨ tsʰɵt˥	
杰凸凸	ki:t˨ tɐt˥ tɐt˥	稠稠的
结汇	ki:t˨ wu:i˨	
结汇证	ki:t˨ wu:i˨ tsɪŋ˧	
桀骜不驯	ki:t˨ ŋou˨˩ pɐt˥ tsʰɵn˨˩	
娇气	ki:u˥ hei˧	
娇艳	ki:u˥ ji:m˨	
娇娆	ki:u˥ ji:u˨˩	
骄阳	ki:u˥ jœ:ŋ˨˩	
娇柔	ki:u˥ jɐu˨˩	
娇惯	ki:u˥ kwa:n˧	
娇躯	ki:u˥ kʰɵy˥	
娇媚	ki:u˥ mei˨	
娇美	ki:u˥ mei˩˧	
娇嫩	ki:u˥ ny:n˨	
骄兵必败	ki:u˥ pɪŋ˥ pi:t˥ pa:i˨	
娇小	ki:u˥ si:u˧˥	
娇小玲珑	ki:u˥ si:u˧˥ lɪŋ˨˩ lʊŋ˨˩	
娇生惯养	ki:u˥ sɐŋ˥ kwa:n˧ jœ:ŋ˩˧	
骄者必败	ki:u˥ tsɛ:˧˥ pi:t˥ pa:i˨	
骄纵	ki:u˥ tsʊŋ˧	
娇妻	ki:u˥ tsʰɐi˥	
娇嗲	ki:u˥ tɛ:˧˥	娇
娇态	ki:u˥ tʰa:i˧	
骄横	ki:u˥ wa:ŋ˨	
骄傲	ki:u˥ ŋou˨	
骄傲感	ki:u˥ ŋou˨ kɐm˧˥	
骄傲自大	ki:u˥ ŋou˨˩ tsi:˨ ta:i˨	
叫苦	ki:u˧ fu:˧˥	
叫苦连天	ki:u˧ fu:˧˥ li:n˨˩ tʰi:n˥	
叫喊	ki:u˧ ha:m˧	
叫嚣	ki:u˧ hi:u˥	
叫好	ki:u˧ hou˧˥	
叫嚷	ki:u˧ jœ:ŋ˩˧	
叫价	ki:u˧ ka:˧	
叫鸡	ki:u˧ kɐi˥	召妓，嫖妓
叫卖	ki:u˧ ma:i˨	
叫骂	ki:u˧ ma:˨	
叫门	ki:u˧ mu:n˨˩	
叫白车	ki:u˧ pa:k˨ tsʰɛ:˥	叫救护车
叫唆	ki:u˧ sɔ:˥	
叫醒	ki:u˧ sɛ:ŋ˧˥	
叫声	ki:u˧ sɪŋ˥	
叫餸	ki:u˧ sʊŋ˧	点菜
叫餸食饭	ki:u˧ sʊŋ˧ sɪk˨ fa:n˨	点菜吃饭
叫做	ki:u˧ tsou˨	
叫阵	ki:u˧ tsɐn˨	
叫座	ki:u˧ tsɔ:˨	
叫车	ki:u˧ tsʰɛ:˥	
叫停	ki:u˧ tʰɪŋ˨˩	
叫唤	ki:u˧ wu:n˨	
叫屈	ki:u˧ wɐt˥	
挢	ki:u˧˥	擦
缴费	ki:u˧˥ fɐi˧	
挢汗	ki:u˧˥ hɔ:n˨	擦汗
矫正	ki:u˧˥ tsɪŋ˧	
挢眼泪	ki:u˧˥ ŋa:n˩˧ lɵy˨	擦眼泪
撬	ki:u˨	挖
撬走	ki:u˨ tsɐu˧˥	挖走
撬墙脚	ki:u˨ tsʰœ:ŋ˨˩ kœ:k˧	挖墙脚
轿车	ki:u˨ tsʰɛ:˥	
叽叽趷趷	ki:˥ ki:˥ kɐt˨ kɐt˨	结结巴巴的，碍手碍脚的
叽趷	ki:˥ kɐt˨	梗阻
叽哩咕噜	ki:˥ li:˥ ku:˥ lu:˥	叽叽咕咕
高压	kou˥ a:t˧	
高科技	kou˥ fɔ:˥ kei˨	
高峰	kou˥ fʊŋ˥	
高峰期	kou˥ fʊŋ˥ wu:i˨	
高效	kou˥ ha:u˨	
高血压	kou˥ hy:t˧ a:t˧	
高兴	kou˥ hɪŋ˧	
高空	kou˥ hʊŋ˥	
高热	kou˥ ji:t˨	
高尔夫	kou˥ ji:˩˧ fu:˥	
高尔夫球	kou˥ ji:˩˧ fu:˥ kʰɐu˨˩	
高尔夫球场	kou˥ ji:˩˧ fu:˥ kʰɐu˨˩ tsʰœ:ŋ˨˩	
高原	kou˥ jy:n˨˩	
睾丸	kou˥ jy:n˨˩	
膏药	kou˥ jœ:k˨	
羔羊	kou˥ jœ:ŋ˨˩	
高人一等	kou˥ jɐn˨˩ jɐt˥ tɐŋ˧˥	
高高大大	kou˥ kou˥ ta:i˨ ta:i˨	很高大
高贵	kou˥ kwɐi˧	
高举	kou˥ kɵy˧˥	
高级	kou˥ kʰɐp˥	
高亢	kou˥ kʰɔ:ŋ˧	
高利贷	kou˥ lei˨ tʰa:i˧	
高佬	kou˥ lou˧˥	高个子
高粱	kou˥ lœ:ŋ˨˩	
高梁	kou˥ lœ:ŋ˨˩	
高梁米	kou˥ lœ:ŋ˨˩ mɐi˩˧	
高梁酒	kou˥ lœ:ŋ˨˩ tsɐu˧˥	
高丽参	kou˥ lɐi˨ sɐm˥	
高楼	kou˥ lɐu˨˩	
高楼大厦	kou˥ lɐu˨˩ ta:i˨ ha:˨	
高龄	kou˥ lɪŋ˨˩	
高不可攀	kou˥ pɐt˥ hɔ:˧˥ pʰa:n˥	
高不成低不就	kou˥ pɐt˥ sɪŋ˨˩ tɐi˥ pɐt˥ tsɐu˨	
糕饼	kou˥ pɛ:ŋ˧˥	
高攀	kou˥ pʰa:n˥	
高频	kou˥ pʰɐn˨˩	
高朋满座	kou˥ pʰɐŋ˨˩ mu:n˩˧ tsɔ:˨	
高山	kou˥ sa:n˥	
高烧	kou˥ si:u˥	
高尚	kou˥ sœ:ŋ˨	
高深莫测	kou˥ sɐm˥ mɔ:k˨ tsʰɐk˥	
高瘦	kou˥ sɐu˧	
高达	kou˥ ta:t˨	
高调	kou˥ ti:u˨	
高度	kou˥ tou˨	
高度评价	kou˥ tou˨ pʰɪŋ˨˩ ka:˧	
高度自治	kou˥ tou˨ tsi:˨ tsi:˨	
高踭鞋	kou˥ tsa:ŋ˥ ha:i˨˩	高跟鞋
高瞻远瞩	kou˥ tsi:m˥ jy:n˩˧ tsʊk˥	
高中生	kou˥ tsʊŋ˥ sa:ŋ˥	
高潮	kou˥ tsʰi:u˨˩	
高层	kou˥ tsʰɐŋ˨˩	
高才生	kou˥ tsʰɔ:i˨˩ sa:ŋ˥	
高清	kou˥ tsʰɪŋ˥	
高速公路	kou˥ tsʰʊk˥ kʊŋ˥ lou˨	
高速煲	kou˥ tsʰʊk˥ pou˥	压力锅，高压锅
高窦	kou˥ tɐu˧	傲慢
高等	kou˥ tɐŋ˧˥	
高等法院	kou˥ tɐŋ˧˥ fa:t˧ jy:n˨	
高温	kou˥ wɐn˥	
告	kou˧	控告，起诉，诉讼，告状
告发	kou˧ fa:t˧	
告一段落	kou˧ jɐt˥ ty:n˨ lɔ:k˨	
告诫	kou˧ ka:i˧	
告急	kou˧ kɐp˥	
告白	kou˧ pa:k˨	广告
告别	kou˧ pi:t˨	
告票	kou˧ pʰi:u˧	传票，罚单，罚款通知书
告示	kou˧ si:˨	
告示板	kou˧ si:˨ pa:n˧˥	
告诉	kou˧ sou˧	
告到佢甩裤	kou˧ tou˧ kʰɵy˩˧ lɐt˥ fu:˧	把他告到底，告得他坐牢
告到你甩裤	kou˧ tou˧ nei˩˧ lɐt˥ fu:˧	一定投诉你，把你告到底
告知	kou˧ tsi:˥	
告状	kou˧ tsɔ:ŋ˨	
告罪	kou˧ tsɵy˨	
告终	kou˧ tsʊŋ˥	
告辞	kou˧ tsʰi:˨˩	
告退	kou˧ tʰɵy˧	
稿件	kou˧˥ ki:n˨	
槁木	kou˧˥ mʊk˨	
癐	ku:i˨	累，疲劳
癐拉拉	ku:i˨ la:i˨˩ la:i˨˩	累极了，累得不得了
癐晒	ku:i˨ sa:i˧	累了
癐到死死吓	ku:i˨ tou˧ sei˧˥ sei˧˥ ha:˧˥	累得够戗，累死了，累坏了
官非	ku:n˥ fei˥	官司
官方	ku:n˥ fɔ:ŋ˥	
观后感	ku:n˥ hɐu˨ kɐm˧˥	
观看	ku:n˥ hɔ:n˧	
官腔	ku:n˥ hɔ:ŋ˥	
官员	ku:n˥ jy:n˩˧	
观音兵	ku:n˥ jɐm˥ pɪŋ˥	护花使者
观音竹	ku:n˥ jɐm˥ tsʊk˥	罗汉竹，佛肚竹
冠军	ku:n˥ kwɐn˥	
观光客	ku:n˥ kwɔ:ŋ˥ ha:k˧	
官吏	ku:n˥ lei˨	
官僚	ku:n˥ li:u˨˩	
官僚习气	ku:n˥ li:u˨˩ tsa:p˨ hei˧	
官僚资本主义	ku:n˥ li:u˨˩ tsi:˥ pu:n˧˥ tsy:˧˥ ji:˨	
官僚主义	ku:n˥ li:u˨˩ tsy:˧˥ ji:˨	
官僚作风	ku:n˥ li:u˨˩ tsɔ:k˧ fʊŋ˥	
官僚政治	ku:n˥ li:u˨˩ tsɪŋ˧ tsi:˨	
冠冕	ku:n˥ mi:n˩˧	
观念	ku:n˥ ni:m˨	
官袍	ku:n˥ pʰou˨˩	
官司	ku:n˥ si:˥	
观赏	ku:n˥ sœ:ŋ˧˥	
官式	ku:n˥ sɪk˥	正式
官式访问	ku:n˥ sɪk˥ fɔ:ŋ˧˥ mɐn˨	正式访问，国事访问
观点	ku:n˥ ti:m˧˥	
观众	ku:n˥ tsʊŋ˧	
观察	ku:n˥ tsʰa:t˧	
莞草	ku:n˥ tsʰou˧˥	
观测	ku:n˥ tsʰɐk˥	
棺材	ku:n˥ tsʰɔ:i˨˩	
棺材本	ku:n˥ tsʰɔ:i˨˩ pu:n˧˥	老本
官邸	ku:n˥ tɐi˧˥	
灌溉	ku:n˧ kʰɔ:i˧	
鹳鸟	ku:n˧ ni:u˩˧	
盥洗	ku:n˧ sɐi˧˥	
罐装	ku:n˧ tsɔ:ŋ˥	
贯彻	ku:n˧ tsʰi:t˧	
贯穿	ku:n˧ tsʰy:n˥	
贯穿力	ku:n˧ tsʰy:n˥ lɪk˨	
贯串	ku:n˧ tsʰy:n˧	
罐头	ku:n˧ tʰɐu˧˥	
管闲事	ku:n˧˥ ha:n˨˩ si:˨	
管弦	ku:n˧˥ ji:n˨˩	
管弦乐团	ku:n˧˥ ji:n˨˩ ŋɔ:k˨ tʰy:n˨˩	
管理	ku:n˧˥ lei˩˧	
馆主	ku:n˧˥ tsy:˧˥	
馆长	ku:n˧˥ tsœ:ŋ˧˥	
豁	ku:t˨	喝
豁	ku:t˨	咕嘟
豁豁声	ku:t˨ ku:t˨ sɛ:ŋ˥	咕嘟咕嘟地响
孤苦伶仃	ku:˥ fu:˧˥ lɪŋ˨˩ tɪŋ˥	
辜负	ku:˥ fu:˨	
孤芳自赏	ku:˥ fɔ:ŋ˥ tsi:˨ sœ:ŋ˧˥	
