開放粵語詞典（劉錫祥版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［劉錫祥拼音］	［國語解釋］
電池	din6 chi4	
電磁波	din6 chi4 boh1	
電磁場	din6 chi4 cheung4	
電磁輻射	din6 chi4 fuk1 se6	
電磁感應	din6 chi4 gam2 ying3	
電磁學	din6 chi4 hok6	
電磁爐	din6 chi4 lo4	
電磁鐵	din6 chi4 tit3	
靛青	din6 ching1	
電廠	din6 chong2	
電傳	din6 chuen4	
電傳機	din6 chuen4 gei1	
電單車	din6 daan1 che1	摩托車，機車
電燈	din6 dang1	
電燈杉	din6 dang1 chaam3	電桿
電燈柱	din6 dang1 chue5	
電燈膽	din6 dang1 daam2	電燈泡
電燈架	din6 dang1 ga2	
電燈總掣	din6 dang1 jung2 jai3	電燈總開關
電燈泡	din6 dang1 paau1	
奠定	din6 ding6	
電導	din6 do6	
電鍍	din6 do6	
電導體	din6 do6 tai2	
電動	din6 dung6	
電動機	din6 dung6 gei1	
電動學	din6 dung6 hok6	
電動勢	din6 dung6 sai3	
電化	din6 fa3	
電化學	din6 fa3 hok6	
電飯煲	din6 faan6 bo1	電飯鍋
電髮	din6 faat3	燙髮
電費	din6 fai3	
澱粉	din6 fan2	
電風扇	din6 fung1 sin3	電扇
電價	din6 ga3	
電解	din6 gaai2	
電解電容	din6 gaai2 din6 yung4	
電解電容器	din6 gaai2 din6 yung4 hei3	
電解質	din6 gaai2 jat1	
電解液	din6 gaai2 yik6	
電介質	din6 gaai3 jat1	
電感	din6 gam2	
電感應	din6 gam2 ying3	
電擊	din6 gik1	
電極	din6 gik6	
電鋸	din6 gui3	
電信局	din6 guk6	
電工	din6 gung1	
電工學	din6 gung1 hok6	
電光	din6 gwong1	
電氣	din6 hei3	
電器	din6 hei3	
電氣化	din6 hei3 fa3	
電器舖	din6 hei3 po2	電器店
電氣石	din6 hei3 sek6	
電荷	din6 hoh6	
電學	din6 hok6	
電焊	din6 hon6	
電焊工	din6 hon6 gung1	
電漿	din6 jeung1	
電匠	din6 jeung6	
電子	din6 ji2	
電子錶	din6 ji2 biu1	
電子報	din6 ji2 bo3	
電子槍	din6 ji2 cheung1	
電子電路	din6 ji2 din6 lo6	
電子科	din6 ji2 foh1	
電子計算機	din6 ji2 gai3 suen3 gei1	
電子管	din6 ji2 goon2	
電子工業	din6 ji2 gung1 yip6	
電子系	din6 ji2 hai6	
電子顯微鏡	din6 ji2 hin2 mei4 geng3	
電子學	din6 ji2 hok6	
電子展	din6 ji2 jin2	
電子琴	din6 ji2 kam4	
電子流	din6 ji2 lau4	
電子書	din6 ji2 sue1	
電子郵件	din6 ji2 yau4 gin6	
電晶體	din6 jing1 tai2	
電阻	din6 joh2	
電阻器	din6 joh2 hei3	
電鑽	din6 juen3	
電鐘	din6 jung1	
電橋	din6 kiu4	
電纜	din6 laam6	
電纜線	din6 laam6 sin3	
電流	din6 lau4	
電流表	din6 lau4 biu2	
電流計	din6 lau4 gai3	
電流強度	din6 lau4 keung4 do6	
電離	din6 lei4	
電離層	din6 lei4 chang4	
電離作用	din6 lei4 jok3 yung6	
電量	din6 leung6	
電力	din6 lik6	
電力廠	din6 lik6 chong2	
電力公司	din6 lik6 gung1 si1	
電力工業	din6 lik6 gung1 yip6	
電力學	din6 lik6 hok6	
電力站	din6 lik6 jaam6	
電力網	din6 lik6 mong5	
電力線	din6 lik6 sin3	
電鈴	din6 ling4	
電療	din6 liu4	
電療法	din6 liu4 faat3	
電料	din6 liu6	
電料行	din6 liu6 hong4	
電爐	din6 lo4	
電路	din6 lo6	
電路板	din6 lo6 baan2	
電路圖	din6 lo6 to4	
電網	din6 mong5	
電鈕	din6 nau2	
電腦	din6 no5	電腦，電子計算機
電腦主機	din6 no5 jue2 gei1	
佃農	din6 nung4	
電芯	din6 sam1	電池
電石	din6 sek6	
電石氣	din6 sek6 hei3	
電視	din6 si6	
電視界	din6 si6 gaai3	
電視機	din6 si6 gei1	
電視觀眾	din6 si6 goon1 jung3	
電視公司	din6 si6 gung1 si1	
電視廣播	din6 si6 gwong2 boh3	
電視直播	din6 si6 jik6 boh3	
電視直播衛星	din6 si6 jik6 boh3 wai6 sing1	
電視接收機	din6 si6 jip3 sau1 gei1	
電視節目	din6 si6 jit3 muk6	
電視劇	din6 si6 kek6	
電視網	din6 si6 mong5	
電視頻道	din6 si6 pan4 do6	
電視台	din6 si6 toi4	
電線	din6 sin3	
電線桿	din6 sin3 gon2	
電船	din6 suen4	汽船
電信	din6 sun3	
電訊	din6 sun3	
電信號	din6 sun3 ho6	
電梯	din6 tai1	自動扶梯
電台	din6 toi4	
電燙斗	din6 tong3 dau2	電熨斗
電話	din6 wa2	
電話簿	din6 wa2 bo6	
電話費	din6 wa2 fai3	
電話機	din6 wa2 gei1	
電話講緊	din6 wa2 gong2 gan2	電話佔線
電話號碼	din6 wa2 ho6 ma5	
電話咭	din6 wa2 kat1	電話卡
電話冇人聽	din6 wa2 mo5 yan4 teng1	電話沒人接
電話線	din6 wa2 sin3	
電話亭	din6 wa2 ting4	
電話筒	din6 wa2 tung2	
電話會議	din6 wa2 wooi6 yi5	
電位	din6 wai6	
電位差	din6 wai6 cha1	
電位器	din6 wai6 hei3	
電鍋	din6 woh1	
電鍋爐	din6 woh1 lo4	
電壺	din6 woo2	
電弧	din6 woo4	
電匯	din6 wooi6	
電玩	din6 woon6	
電油	din6 yau4	汽油
電椅	din6 yi2	
電影	din6 ying2	
電影界	din6 ying2 gaai3	
電影圈	din6 ying2 huen1	
電影劇本	din6 ying2 kek6 boon2	
電影明星	din6 ying2 ming4 sing1	
電影院	din6 ying2 yuen2	
電刑	din6 ying4	
電熱	din6 yit6	
電熱器	din6 yit6 hei3	
電源	din6 yuen4	
電源開關	din6 yuen4 hoi1 gwaan1	
電容	din6 yung4	
電容器	din6 yung4 hei3	
丁等	ding1 dang2	
叮噹	ding1 dong1	
丁咁多	ding1 gam3 doh1	一丁點兒
丁香	ding1 heung1	嬌小玲瓏
丁香	ding1 heung1	
丁香花	ding1 heung1 fa1	
丁香油	ding1 heung1 yau4	
丁字	ding1 ji6	
丁字尺	ding1 ji6 chek3	
丁字褲	ding1 ji6 foo3	
丁字形	ding1 ji6 ying4	
叮囑	ding1 juk1	
丁級	ding1 kap1	
叮嚀	ding1 ning4	
丁是丁卯是卯	ding1 si6 ding1 maau5 si6 maau5	
訂書機	ding1 sue1 gei1	
頂	ding2	撐，挺，支撐，支持
頂包	ding2 baau1	冒名頂替，以假充真
頂得住	ding2 dak1 jue6	撐得住，受得了
頂檔	ding2 dong3	頂替
頂夾	ding2 gaap2	頭髮夾子
頂頸	ding2 geng2	拌嘴，頂嘴，抬槓，反駁
頂吓肚	ding2 ha5 to5	點補點補，充充飢
頂尖	ding2 jim1	
頂住	ding2 jue6	撐著，撐住
頂唔住	ding2 m4 jue6	受不了，撐不住
頂唔順	ding2 m4 sun6	受不了，吃不消
頂心杉	ding2 sam1 chaam3	眼中釘
頂肚	ding2 to5	充飢，解餓
頂肚餓	ding2 to5 ngoh6	充飢，解餓
椗	ding3	核，蒂
訂閱	ding3 yuet6	
定	ding6	還是，或者
定啲	ding6 di1	鎮定一點
定啲嚟	ding6 di1 lei4	穩住
定點	ding6 dim2	小數點，點
定係	ding6 hai6	還是
定期	ding6 kei4	
定銀	ding6 ngan2	定錢，定金
定晒形	ding6 saai3 ying4	愣住了，發愣，發呆
定義	ding6 yi6	
定讞	ding6 yin6	
碟	dip6	盤子
諜報	dip6 bo3	
喋喋不休	dip6 dip6 bat1 yau1	
喋血	dip6 huet3	
疊嶂	dip6 jeung3	
牒文	dip6 man4	
蝶式	dip6 sik1	
疊韻	dip6 wan6	
蝶泳	dip6 wing6	
啲啲咁多	dit1 dit1 gam3 doh1	一点点
啲咁多	dit1 gam3 doh1	一點點，一丁點
跌	dit3	丟，掉，落
跌崩頭	dit3 bang1 tau4	摔破頭
跌親	dit3 chan1	摔倒，跌倒
跌低	dit3 dai1	跌倒，倒下
跌落地都要楋翻揸沙	dit3 dai1 la2 faan1 ja6 sa1	不認失敗，失敗了還硬撐著，給自己一個台階下
跌倒	dit3 do2	
跌宕	dit3 dong6	
跌價	dit3 ga3	降價
跌跤	dit3 gaau1	摔跤，跌倒
跌咗	dit3 joh2	丟了，丟失
跌爛	dit3 laan6	摔破，摔壞了
跌落	dit3 lok6	掉下
跌落地	dit3 lok6 dei6	落地，掉到地上
跌落地下，揦翻拃沙	dit3 lok6 dei6 ha2 la2 faan1 ja6 sa1	不認失敗，失敗了還硬撐著，給自己一個台階下
跌落去	dit3 lok6 hui3	掉下去
跌落嚟	dit3 lok6 lei4	落下來
跌失	dit3 sat1	丟失，失去
迭代	dit6 doi6	
秩序	dit6 jui6	
丟架	diu1 ga2	丟人，丟臉，丟面子
雕刻	diu1 hak1	
雕刻品	diu1 hak1 ban2	
雕刻家	diu1 hak1 ga1	
丟棄	diu1 hei3	
丟擲	diu1 jaak6	
凋謝	diu1 je6	
雕像	diu1 jeung6	
刁僑扭擰	diu1 kiu4 nau5 ning6	調皮，不聽話，難以對付
刁蠻	diu1 maan4	蠻不講理，蠻橫，任性而刁鑽
丟那媽	diu1 na5 ma1	他媽的
刁難	diu1 naan4	
丟三拉四	diu1 saam1 laai6 sei3	
貂禪	diu1 sim4	
雕塑	diu1 so3	
鯛魚	diu1 yue4	
吊床	diu3 chong4	
吊燈	diu3 dang1	
吊頸	diu3 geng2	上吊
吊靴鬼	diu3 heuh1 gwai2	胡攪蠻纏的人
吊銷	diu3 siu1	
吊銷執照	diu3 siu1 jap1 jiu3	
弔胃口	diu3 wai6 hau2	
弔唁	diu3 yin6	
釣魚	diu3 yue2	打瞌睡
吊吊揈	diu4 diu2 fing6	悠蕩，晃悠，搖來擺去，晃來晃去，沒有結果，沒有著落
調子	diu6	調子
調兵遣將	diu6 bing1 hin2 jeung3	
調查	diu6 cha4	
調查表	diu6 cha4 biu2	
調動	diu6 dung6	
調虎離山	diu6 foo2 lei4 saan1	
調遣	diu6 hin2	
調職	diu6 jik1	
調離	diu6 lei4	
調令	diu6 ling6	
調派	diu6 paai3	
調配	diu6 pooi3	
調研	diu6 yin4	
都	do1	也
刀疤	do1 ba1	
刀把	do1 ba2	
刀柄	do1 beng3	
刀背	do1 booi3	
刀叉	do1 cha1	
刀槍	do1 cheung1	
刀槍不入	do1 cheung1 bat1 yap6	
都似	do1 chi5	有可能，很可能
叨叨絮絮	do1 do1 sui5 sui5	
刀鋒	do1 fung1	
…都假啦	do1 ga2 la1	…也是白搭，…也是白費勁
刀劍	do1 gim3	
刀割	do1 got3	
刀具	do1 gui6	
叨光	do1 gwong1	
刀光劍影	do1 gwong1 gim3 ying2	
都係	do1 hai6	也是，都是，還是
刀口	do1 hau2	
都可以	do1 hoh2 yi5	
刀仔	do1 jai2	小刀
刀匠	do1 jeung6	
刀尖	do1 jim1	
刀俎	do1 joh2	
刀俎魚肉	do1 joh2 yue4 yuk6	
嘟嘴	do1 jui2	
嘟嚕	do1 lo1	
…都唔得	do1 m4 dak1	…都不行
刀馬旦	do1 ma5 daan3	
都未知	do1 mei6 ji1	還不知道
刀面	do1 min6	
嘟囔	do1 nong4	
刀片	do1 pin3	
刀山	do1 saan1	
刀山劍樹	do1 saan1 gim3 sue6	
刀削麵	do1 seuk3 min6	
刀傷	do1 seung1	
都市	do1 si5	
刀刃	do1 yan6	
都一樣	do1 yat1 yeung6	
叨擾	do1 yiu2	
…到	do2	到了，著
倒閉	do2 bai3	
賭博	do2 bok3	
賭場	do2 cheung4	
倒出嚟	do2 chut1 lei4	倒出來
搗蛋	do2 daan6	
搗蛋鬼	do2 daan6 gwai2	
賭檔	do2 dong3	地下賭場
賭棍	do2 gwan3	指靠賭錢騙人為生的人
島國	do2 gwok3	
倒竈	do2 jo3	幫倒忙，砸鍋，辦事失敗
島嶼	do2 jui6	
搗爛	do2 laan6	
倒垃圾	do2 laap6 saap3	
倒冧	do2 lam3	倒塌
搗亂	do2 luen6	
搗亂份子	do2 luen6 fan6 ji2	
倒米	do2 mai5	闖禍，搗蛋，惹麻煩，捅婁子
搗米	do2 mai5	
倒米壽星	do2 mai5 sau6 sing1	搗亂的人，搗蛋的人，幫倒忙者
倒米壽星公	do2 mai5 sau6 sing1 gung1	搗亂的人，搗蛋的人，幫倒忙者
島民	do2 man4	
堵塞	do2 sak1	
倒瀉	do2 se2	傾倒，溢出，倒出，倒撒了，灑
倒瀉籮蟹	do2 se2 loh4 haai5	場面一時大亂，手忙腳亂，亂成一團，場面混亂
搗碎	do2 sui3	
倒坍	do2 taan1	
倒塌	do2 taap3	
搗毀	do2 wai2	
…到	do3	…得
到埗	do3 bo6	抵達，到達
到處	do3 chue3	
到達	do3 daat6	
…到飛起	do3 fei1 hei2	…到極點，非常…，…得要命
妒忌	do3 gei6	
到嗰陣	do3 goh2 jan6	到時候
～到鬼噉	do3 gwai2 gam2	～得要命
妒恨	do3 han6	
妒嫉	do3 jat6	
到其時	do3 kei4 si4	到時候
…到死	do3 sei2	…極了，…死了，…得要命，…得要死，非常…
到時	do3 si4	到時候
到時候	do3 si4 hau6	
到時睇吓點先	do3 si4 tai2 ha5 dim2 sin1	到時候再說
倒數	do3 so2	
倒胃	do3 wai6	
倒胃口	do3 wai6 hau2	
妒意	do3 yi3	
蠹魚	do3 yue4	
度	do6	這兒，那兒
盜版	do6 baan2	
盜版書	do6 baan2 sue1	
道不同不相為謀	do6 bat1 tung4 bat1 seung1 wai4 mau4	
導播	do6 boh3	
盜賊	do6 chaak6	
稻草	do6 cho2	
稻草人	do6 cho2 yan4	
盜取	do6 chui2	
導出	do6 chut1	
導彈	do6 daan6	
導彈系統	do6 daan6 hai6 tung2	
導彈網	do6 daan6 mong5	
道德	do6 dak1	
道德經	do6 dak1 ging1	
導電	do6 din6	
導電度	do6 din6 do6	
導電性	do6 din6 sing3	
導電體	do6 din6 tai2	
度度	do6 do6	處處，到處
盜伐	do6 fat6	
盜匪	do6 fei2	
導火線	do6 foh2 sin3	
盜款	do6 foon2	
鍍金	do6 gam1	
道高一尺，魔高一丈	do6 go1 yat1 chek3 moh1 go1 yat1 jeung6	
導管	do6 goon2	
杜鵑	do6 guen1	
杜鵑花	do6 guen1 fa1	
杜鵑鳥	do6 guen1 niu5	
稻穀	do6 guk1	
導向	do6 heung3	
導向飛彈	do6 heung3 fei1 daan6	
道歉	do6 hip3	
稻糠	do6 hong1	
導航	do6 hong4	
導航系統	do6 hong4 hai6 tung2	
杜撰	do6 jaan6	
導致	do6 ji3	
杜絕	do6 juet6	
杜絕後患	do6 juet6 hau6 waan6	
道理	do6 lei5	
道路	do6 lo6	
盜壘	do6 lui5	
渡輪	do6 lun4	
稻米	do6 mai5	
稻苗	do6 miu4	
盜墓	do6 mo6	
杜門	do6 moon4	
杜門謝客	do6 moon4 je6 haak3	
悼念	do6 nim6	
導尿管	do6 niu6 goon2	
道袍	do6 po4	
導師	do6 si1	
道士	do6 si2	
導線	do6 sin3	
盜竊	do6 sit3	
盜竊罪	do6 sit3 jui6	
稻菽	do6 suk6	
導體	do6 tai2	
稻田	do6 tin4	
盜印	do6 yan3	
導入	do6 yap6	
導遊	do6 yau4	
道友	do6 yau5	癮君子，吸毒者
道義	do6 yi6	
盜亦有道	do6 yik6 yau5 do6	
導演	do6 yin2	
悼唁	do6 yin6	
導熱	do6 yit6	
盜用	do6 yung6	
多邊	doh1 bin1	
多邊條約	doh1 bin1 tiu4 yeuk3	
多邊形	doh1 bin1 ying4	
多變	doh1 bin3	
多半	doh1 boon3	
多產	doh1 chaan2	
多產作家	doh1 chaan2 jok3 ga1	
多此一舉	doh1 chi2 yat1 gui2	
多情	doh1 ching4	
多彩	doh1 choi2	
多彩多姿	doh1 choi2 doh1 ji1	
多才多藝	doh1 choi4 doh1 ngai6	
多財善賈	doh1 choi4 sin6 goo2	
多重	doh1 chung4	
多重選擇	doh1 chung4 suen2 jaak6	
多重選擇題	doh1 chung4 suen2 jaak6 tai4	
多重人格	doh1 chung4 yan4 gaak3	
多得	doh1 dak1	多虧
多啲	doh1 di1	多一點
多多	doh1 doh1	多，很多
多多少少	doh1 doh1 siu2 siu2	
多多益善	doh1 doh1 yik1 sin6	
多黨	doh1 dong2	
多黨制	doh1 dong2 jai3	
多方	doh1 fong1	
多方阻擾	doh1 fong1 joh2 yiu2	
多方面	doh1 fong1 min6	
多久	doh1 gau2	
多管	doh1 goon2	
多管齊下	doh1 goon2 chai4 ha6	
多管閒事	doh1 goon2 haan4 si6	
多句嘴	doh1 gui3 jui2	多說一句話
多功能	doh1 gung1 nang4	
多寡	doh1 gwa2	
多寡不拘	doh1 gwa2 bat1 kui1	
多過頭	doh1 gwoh3 tau4	太多
多國	doh1 gwok3	
多國部隊	doh1 gwok3 bo6 dui6	
多行不義必自斃	doh1 hang4 bat1 yi6 bit1 ji6 bai6	
多口	doh1 hau2	多嘴
多看多聽	doh1 hon3 doh1 ting1	
多汁	doh1 jap1	
多謝	doh1 je6	謝謝，多謝
多謝	doh1 je6	
多謝晒	doh1 je6 saai3	很感謝，真謝謝你
多子多孫	doh1 ji2 doh1 suen1	
多災	doh1 joi1	
多災多難	doh1 joi1 doh1 naan6	
多種	doh1 jung2	
多種多樣	doh1 jung2 doh1 yeung6	
多種經營	doh1 jung2 ging1 ying4	
多虧	doh1 kwai1	
多禮	doh1 lai5	
多勞多得	doh1 lo4 doh1 dak1	
多羅羅	doh1 loh4 loh4	多多的，很多
多慮	doh1 lui6	
多謀善斷	doh1 mau4 sin6 duen6	
多麼	doh1 moh1	
多媒體	doh1 mooi4 tai2	
多年	doh1 nin4	
多年來	doh1 nin4 loi4	
多年生	doh1 nin4 sang1	
多年生植物	doh1 nin4 sang1 jik6 mat6	
多心	doh1 sam1	
多愁善感	doh1 sau4 sin6 gam2	
多士	doh1 si2	烤麵包，土司
多士爐	doh1 si2 lo4	烤麵包機，電烤箱
多事	doh1 si6	
多事之秋	doh1 si6 ji1 chau1	
多少	doh1 siu2	
多少	doh1 siu2	一些，一點兒
多少少	doh1 siu2 siu2	多一點，多一些，多出一點點
多數	doh1 so3	大部分，大多，多半兒，大概
多數票	doh1 so3 piu3	
多數人	doh1 so3 yan4	
哆嗦	doh1 soh1	
多選	doh1 suen2	
多選題	doh1 suen2 tai4	
多胎	doh1 toi1	
多退少補	doh1 tui3 siu2 bo2	
多位	doh1 wai6	
多位數	doh1 wai6 so3	
多雲	doh1 wan4	
多一事長一智	doh1 yat1 si6 jeung2 yat1 ji3	經一事長一智
多一事長一智	doh1 yat1 si6 jeung2 yat1 ji3	經一事長一智
多義詞	doh1 yi6 chi4	
多義字	doh1 yi6 ji6	
多言	doh1 yin4	
多於	doh1 yue1	
多餘	doh1 yue4	
多如牛毛	doh1 yue4 ngau4 mo4	
多雨	doh1 yue5	
多元	doh1 yuen4	
多元化	doh1 yuen4 fa3	
多元論	doh1 yuen4 lun6	
多元性	doh1 yuen4 sin3	
躲避	doh2 bei6	
跺腳	doh2 geuk3	
剁碎	doh2 sui3	
剁肉	doh2 yuk6	
惰	doh6	墜，往下垂
惰角	doh6 gok3	偏僻
惰角地方	doh6 gok3 dei6 fong1	偏僻的地方，偏地方
惰落	doh6 lok6	墜下
墮落	doh6 lok6	
惰落嚟	doh6 lok6 lei4	墜下來
惰性	doh6 sing3	
墮胎	doh6 toi1	
墮入	doh6 yap6	
袋	doi2	口袋
袋鼠	doi2 sue2	
袋	doi6	袋子
代表	doi6 biu2	
殆盡	doi6 jun6	
怠慢	doi6 maan6	
玳瑁	doi6 mo6	
岱山	doi6 saan1	
代替	doi6 tai3	
待遇	doi6 yue6	
度	dok6	量
踱步	dok6 bo6	
度錯	dok6 choh3	量錯
度德量力	dok6 dak1 leung6 lik6	
度橋	dok6 kiu2	想法子，過關
度身	dok6 san1	量身
度水	dok6 sui2	借錢
當兵	dong1 bing1	
當差	dong1 chaai1	當警察
當前	dong1 chin4	
當朝	dong1 chiu4	
當初	dong1 choh1	
當地	dong1 dei6	
當道	dong1 do6	
當代	dong1 doi6	
當家	dong1 ga1	
當家作主	dong1 ga1 jok3 jue2	
當更	dong1 gaang1	值班
當今	dong1 gam1	
當官	dong1 goon1	
當局	dong1 guk6	
當局者迷	dong1 guk6 je2 mai4	
當歸	dong1 gwai1	
當下	dong1 ha6	
當空	dong1 hung1	
當紅	dong1 hung4	
當之無愧	dong1 ji1 mo4 kwai5	
當政	dong1 jing3	
當政者	dong1 jing3 je2	
當造	dong1 jo6	當季
當住	dong1 jue6	當著，當面
當住佢講	dong1 jue6 kui5 gong2	當著他的面說
當中	dong1 jung1	
當眾	dong1 jung3	
當權	dong1 kuen4	
當老師	dong1 lo5 si1	
噹啷	dong1 long1	
當面	dong1 min6	
當務之急	dong1 mo6 ji1 gap1	
當心	dong1 sam1	
當時	dong1 si4	
當先	dong1 sin1	
當選	dong1 suen2	
當選者	dong1 suen2 je2	
當衰	dong1 sui1	倒霉，遭殃，該倒霉，運氣差，合該倒霉
當頭	dong1 tau4	
當頭棒喝	dong1 tau4 paang5 hot3	
當堂	dong1 tong4	當場
當堂甩鬚	dong1 tong4 lat1 so1	當場出醜
當日更	dong1 yat6 gaang1	值日班，上白班，值白班
當夜更	dong1 ye6 gaang1	值夜班
當然	dong1 yin4	
擋箭牌	dong2 jin3 paai4	
黨政	dong2 jing3	
黨派	dong2 paai3	
黨委	dong2 wai2	
檔	dong3	攤子，攤兒，攤
檔口	dong3 hau2	攤子，攤
當真	dong3 jan1	
當作	dong3 jok3	
當佢冇到	dong3 kui5 mo5 do3	不放在眼裡，不管他，不給他一點面子
當…冇到	dong3 mo5 do3	當…不在
檔案	dong3 on3	
當舖	dong3 po3	
當成	dong3 sing4	
檔位	dong3 wai2	攤位
當日	dong3 yat6	
當耳邊風	dong3 yi5 bin1 fung1	
蕩失路	dong6 sat1 lo6	迷路
端午節	duen1 ng5 jit3	
端倪	duen1 ngai4	
短法包	duen2 faat3 baau1	短法國麵包
短褲	duen2 foo3	
短暫	duen2 jaam6	
短袖	duen2 jau6	
短期	duen2 kei4	
短期內	duen2 kei4 noi6	
短裙	duen2 kwan4	裙子
短褸	duen2 lau1	外套
斷估	duen3 goo2	瞎猜，亂猜
鍛煉	duen3 lin6	
斷壁殘垣	duen6 bik1 chaan4 woon4	
鍛練	duen6 lin6	
奪取	duet6 chui2	
奪得	duet6 dak1	
奪金	duet6 gam1	
奪冠	duet6 goon3	
奪眶而出	duet6 hong1 yi4 chut1	
奪權	duet6 kuen4	
奪門	duet6 moon4	
奪門而入	duet6 moon4 yi4 yap6	
奪目	duet6 muk6	
奪魂	duet6 wan4	
懟	dui2	捅，推
對	dui2	對聯
懟冧	dui2 lam3	毆打，打死，幹掉
對稱	dui3 ching3	
對待	dui3 doi6	
對方	dui3 fong1	
對講機	dui3 gong2 gei1	步行機，對話機
對胸衫	dui3 hung1 saam1	對襟衫
對峙	dui3 ji6	
對鐘	dui3 jung1	對時間
對抗	dui3 kong3	
對立	dui3 laap6	
對唔住	dui3 m4 jue6	對不起
對埋	dui3 maai4	靠裡邊，靠裡邊的
對面	dui3 min6	
對我嚟講	dui3 ngoh5 lei4 gong2	對我來說
對手	dui3 sau2	
對頭	dui3 tau4	
對話	dui3 wa2	
對胃口	dui3 wai6 hau2	
對弈	dui3 yik6	
兌付	dui6 foo6	
隊伍	dui6 ng5	
兌換	dui6 woon6	
兌現	dui6 yin6	
篤	duk1	底，底部，盡頭
督	duk1	戳，捅，刺，扎
督背脊	duk1 booi3 jek3	背地裡傷人，打小報告，戳脊樑骨
督察	duk1 chaat3	
督親	duk1 chan1	戳傷，刺傷
督穿	duk1 chuen1	捅破
督穿個窿	duk1 chuen1 goh3 lung1	捅個窿
篤底	duk1 dai2	底下的，底層的
篤定	duk1 ding6	
篤行	duk1 hang4	
篤厚	duk1 hau5	
篤學	duk1 hok6	
篤志	duk1 ji3	
篤直	duk1 jik6	
篤實	duk1 sat6	
篤守	duk1 sau2	
篤誠	duk1 sing4	
篤信	duk1 sun3	
獨白	duk6 baak6	
毒品	duk6 ban2	
獨步	duk6 bo6	
獨唱	duk6 cheung3	
獨唱曲	duk6 cheung3 kuk1	
獨裁	duk6 choi4	
獨裁者	duk6 choi4 je2	
獨裁政權	duk6 choi4 jing3 kuen4	
獨創	duk6 chong3	
獨處	duk6 chue5	
讀大學	duk6 daai6 hok6	
獨得	duk6 dak1	
獨特	duk6 dak6	
獨特性	duk6 dak6 sing3	
獨到	duk6 do3	
獨到之處	duk6 do3 ji1 chue3	
獨當一面	duk6 dong1 yat1 min6	
獨斷	duk6 duen6	
獨斷獨行	duk6 duen6 duk6 hang4	
獨斷專行	duk6 duen6 juen1 hang4	
毒販	duk6 faan3	
獨家	duk6 ga1	
獨家報導	duk6 ga1 bo3 do6	
獨家新聞	duk6 ga1 san1 man4	
獨腳戲	duk6 geuk3 hei3	
獨角	duk6 gok3	
獨角戲	duk6 gok3 hei3	
獨角獸	duk6 gok3 sau3	
獨居	duk6 gui1	
獨具匠心	duk6 gui6 jeung6 sam1	
獨具慧眼	duk6 gui6 wai6 ngaan5	
獨具一格	duk6 gui6 yat1 gaak3	
獨係	duk6 hai6	只是，只有
讀後感	duk6 hau6 gam2	
獨奏	duk6 jau3	
獨奏曲	duk6 jau3 kuk1	
讀者	duk6 je2	
獨掌	duk6 jeung2	
獨掌大權	duk6 jeung2 daai6 kuen4	
獨資	duk6 ji1	
獨資經營	duk6 ji1 ging1 ying4	
獨子	duk6 ji2	
獨自	duk6 ji6	
獨佔	duk6 jim3	
獨佔鰲頭	duk6 jim3 ngo4 tau4	
獨佔市場	duk6 jim3 si5 cheung4	
獨攬	duk6 laam5	
獨攬大權	duk6 laam5 daai6 kuen4	
獨立	duk6 laap6	
獨立國	duk6 laap6 gwok3	
獨立自主	duk6 laap6 ji6 jue2	
獨立精神	duk6 laap6 jing1 san4	
獨立思考	duk6 laap6 si1 haau2	
獨立思想	duk6 laap6 si1 seung2	
獨立性	duk6 laap6 sing3	
獨立宣言	duk6 laap6 suen1 yin4	
獨立運動	duk6 laap6 wan6 dung6	
獨來獨往	duk6 loi4 duk6 wong5	
獨輪	duk6 lun4	
獨輪車	duk6 lun4 che1	
讀萬卷書，行萬里路	duk6 maan6 guen2 sue1 haang4 maan6 lei5 lo6	
讀物	duk6 mat6	
黷武	duk6 mo5	
獨幕劇	duk6 mok6 kek6	
獨門	duk6 moon4	
獨木	duk6 muk6	
獨木不成林	duk6 muk6 bat1 sing4 lam4	
獨木舟	duk6 muk6 jau1	
獨木橋	duk6 muk6 kiu4	
獨木船	duk6 muk6 suen4	
獨眼	duk6 ngaan5	
獨眼龍	duk6 ngaan5 lung4	
獨身	duk6 san1	
獨身主義	duk6 san1 jue2 yi6	
獨身生活	duk6 san1 sang1 woot6	
獨生	duk6 sang1	
獨生子	duk6 sang1 ji2	
獨生女	duk6 sang1 nui5	
讀寫	duk6 se2	
讀寫能力	duk6 se2 nang4 lik6	
毒蛇	duk6 se4	
獨市生意	duk6 si5 saang1 yi3	獨家生意
獨食	duk6 sik6	独吃，独吞
獨善其身	duk6 sin6 kei4 san1	
讀書	duk6 sue1	
讀書不求甚解	duk6 sue1 bat1 kau4 sam6 gaai2	
獨樹一幟	duk6 sue6 yat1 chi3	
獨樹一格	duk6 sue6 yat1 gaak3	
獨睡	duk6 sui2	單人床
獨往獨來	duk6 wong5 duk6 loi4	
獨一無二	duk6 yat1 mo4 yi6	
獨有	duk6 yau5	
毒藥	duk6 yeuk6	
敦煌	dun1 wong4	
